text,reject,PUNISHMENT,GENERAL_CIRCUM,CONFESSION,CONFESSION_LVL2,CIR_TYPE_WEP,CIR_PURPOSE,CIR_PLANNING,CIR_MONEY_PAID_WEP,CIR_HELD_WAY_WEP,REGRET,RESPO,CIR_USE,CIR_STATUS_WEP,CIR_OBTAIN_WAY_WEP,CIR_BUYER_ID_WEP,CIR_AMMU_AMOUNT_WEP,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE,CIRCUM_OFFENSE
"עוד מסר, כי מערכת היחסים לוותה בצריכה אינטנסיבית של אלכוהול.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
את רגשותיו כלפיה.,,,,,,,,,,,,,,,,,,,,,
"והתנהלותו הכללית שכללה צריכת אלכוהול, מערכת יחסיו של הנאשם עם הוריו היתה מלווה ביקורת וכעסים.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
הנאשם מסר כי מאז האירוע קשריו עם ר.ק.,,,,,,,,,,,,,,,,,,,,,
"העלה חרס ולכן הובאו נתונים בנוגע לשיחה עמה סמוך לאחר הגשת כתב האישום, במסגרת הליך המעצר, אז מסרה גרסה מתחמקת (כי לא שמעה יריות.",,,,,,,,,,,,,[],,,,,,,,
".),  הוסיפה כי היא מעוניינת בסגירת התיק כנגד הנאשם וכי אינה מפחדת ממנו.",,,,,,,,,,,,,,,,,,,,,
"שירות המבחן התרשם כי חרף תיאור הנאשם את מעשיו, הוא מתקשה בקבלת אחריות מלאה בגינם.",,,,['לא'],,,,,,,,,,,,,,,,,
בהקשר זה הפנה בא כוח הנאשם להסכמת הצדדים לפיה במהלך האירוע היה הנאשם תחת השפעת משקאות אלכוהוליים ולטענתו כי אינו זוכר את כל פרטי האירוע.,,,,,,,,,,,,,,,[],,,,,,
"נטען, ששירות המבחן כלל לא התייחס לנתון זה ולכן מסקנת שירות המבחן כי הנאשם התקשה בקבלת אחריות הינה שגויה.",,,,['לא'],,,,,,,,,,,,,,,,,
"שונים פני הדברים בנוגע למישורי התייחסות נוספים של שירות המבחן ושאינם נוגעים בהכרח לאי יכולתו לזכור את כלל פרטי האירוע – כך, ציין שירות המבחן כי הנאשם אינו מודע לחומרת מעשיו ולסכנה הגלומה בהתנהגותו.",,,,,,,,,,,,,,,,,,,,,
"במילים אחרות, בין אם הנאשם זוכר את כל פרטי האירוע ובין אם לאו, הנאשם כיום מודע למעשיו בעת האירוע והיה אמור להפנים ולהסיק מסקנות לגבי שינוי דרכיו.",,,,,,,,,,,,,,,,,,,,,
"עוד צוין בתסקיר, כי הנאשם מתקשה בוויסות דחפים ומתקשה בקיום קשר זוגי כשבין היתר צוינו צרכי שליטה וקשיי נפרדות.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
שירות המבחן אף הפנה לכך כי הליכים קודמים בהם נדון למאסרים לריצוי בעבודות שירות לא הרתיעוהו מלחזור ולבצע עבירות.,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
"מאידך גיסא, הביא שירות המבחן את התרשמותו, בין היתר על בסיס נתונים מהליכים קודמים, כי מדובר במי שהינו נעדר קווים עבריינים באישיותו.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
"עוד צוין, כי הנאשם הינו בעל יכולת להתבטא באופן כן ואותנטי ביחס לקשייו ורגשותיו, וזאת בהקשר לאפשרות שילובו בהליך טיפולי במסגרת מאסרו.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
"סיכומו של דבר, שירות המבחן סבר כי נשקפת מהנאשם מסוכנות עתידית להישנות עבירות אלימות והמליץ כי במסגרת מאסרו תבחן אפשרות לשלב את הנאשם בהליך טיפולי בתחום התמכרותו לאלכוהול וכן ביתר קשייו, כאשר הכוונה כמובן ליכולתו לקיים קשר זוגי מיטיב.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
"במסגרת ראיות המאשימה לעונש הוגשו פלטי הרישום הפלילי של הנאשם, אשר בשנת 2011 הורשע בעבירות אלימות (תקיפה הגורמת חבלה של ממש ואיומים) וכן בעבירות רכוש (חבלה במזיד ברכב ושבל""ר) ונדון ל 5 חודשי מאסר לריצוי בעבודות שירות (אירוע משנת 2010); ובשנת 2017 נדון בבית המשפט לתעבורה ל 30 ימי מאסר לריצוי בעבודות שירות, בגין מעורבותו בתאונת דרכים שגרמה לחבלה בגוף (אירוע משנת 2012).",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : כן', '11 : כן']",,,,,,,,,,,,,,,['הנאשם קיבל 5 חודשי מאסר לריצוי בעבודות שירות בשנת 2011'],[],[],
"המאשימה עמדה על חומרת מעשי הנאשם – נטען כי מדובר במי שלא רק נשא נשק שלא כדין, עבירה חמורה כשלעצמה, אלא אף עשה בו שימוש בנסיבות המקנות לו משנה חומרה - הירי באקדח, הגם שהיה באוויר ובשטח פתוח, בוצע על רקע מערכת יחסיו עם ר.ק.",,,,,,['אקדח'],,,,,,,['ירי'],,,,,,,,
"ותוך כדי שלווה באמירות קשות כלפיה, טמן בחובו סכנה לא מבוטלת לשלומה.",,,,,,,,,,,,,,,,,,,,,
"המאשימה הפנתה לכלל נסיבות האירוע וכן לפסיקה המייצגת, לשיטתה, את מדיניות הענישה הנוהגת במקרים דומים (שוב, לשיטתה) ועתרה לקביעת מתחם ענישה שנע בין 3 ל 5 שנות מאסר.",,,,,,,,,,,,,,,,,,[],[],[],
"בנוגע לנסיבות שאינן קשורות בביצוע העבירה, הפנתה המאשימה לחלק מהנתונים שעלו מתסקיר שירות המבחן – לנטילת האחריות החלקית, לכך שהנאשם אינו מודע לחומרת מעשיו ולהערכה כי נשקפת ממנו מסוכנות עתידית.",,,,['לא'],,,,,,,,,,,,,,,,,
"כן הפנתה המאשימה לעברו הפלילי של הנאשם שהגם שאינו מכביד, מצביע כי הוא לא הורתע מהעונשים המתונים שהושתו עליו בעבר.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : כן']",,,,,,,,,,,,,,,,,,
"בהקשר הראשון נטען, כי ההחזקה והשימוש בנשק לא היו ברף חומרה גבוה – מדובר באקדח שלא הוחזק למטרות פליליות ""רגילות"", וגם השימוש בו בעת האירוע, חרף חומרתו, לא היה כרוך בסכנה ברף גבוה – מדובר בירי שבוצע ביער מחוץ לאזור מגורים וכוון לאוויר ולא לעבר המתלוננת.",,,,,,['אקדח'],,,,,,,['ירי'],,,,,,,,
"עוד נטען, כי לא צוין בכתב האישום שהנאשם הביא את הנשק ליער במטרה לעשות בו שימוש, ולכן מדובר בשימוש ""ספונטאני"" ולא מתוכנן, שהיה על רקע הדין ודברים עם המתלוננת ועל רקע צריכת האלכוהול.",,,,,,,[],,,,,,[],,,,,,,,
"צוין, כי לא הופעלה כל אלימות כלפי המתלוננת, מלבד זו המילולית.",,,,,,,,,,,,,,,,,,,,,
לגבי הפסיקה שהוגשה על ידי המאשימה צוין כי במרבית המקרים דובר בירי לעבר אנשים ולכל הפחות לעבר בתים או רכבים בהם היו בני אדם.,,,,,,,,,,,,,,,,,,,,,
"לגבי הנאשם עצמו, הפנה בא כוח הנאשם לכל הנתונים שיש בהם להביא למסקנה כי ניתן להסתפק בעונש מתון – כך, צוין כי גם מתסקיר שירות המבחן (הגם שהועלו כלפיו טענות שלא מצאתי מקום להרחיב בהן) עולה, כי הנאשם קיים מרבית שנותיו אורח חיים נורמטיבי ועבד לפרנסתו.",,,"['1 : כן', '2 : לא', '3 : לא', '4 : לא', '5 : כן', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,,,,,,,
"בא כוח הנאשם הפנה להתרשמות שירות המבחן כי מדובר במי שהינו נעדר קווים עברייניים ולכך כי חרף שתי הרשעותיו, מדובר במעשים שנעשו לפני זמן ניכר וכי אין מדובר בעבר מכביד.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,,,,,,,
"עוד נטען, כי בניגוד לסברת שירות המבחן כאילו הנאשם לא הפנים את חומרת מעשיו, הנאשם דווקא מודע לכך ומעוניין בהליך טיפולי במסגרת מאסרו.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : כן', '5 : כן', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",['לא'],,,,,,,,,,,,,,,,,
"הודגש המשקל שיש לתת להודיית הנאשם בטרם שמיעת ראיות, שמדגישה את קבלת האחריות מצדו ואף הביאה לחיסכון ניכר בזמן שיפוטי ובצורך בהעדת המתלוננת.",,,,['לא'],,,,,,,,,,,,,,,,,
"עוד הפנה בא כוח הנאשם לכך כי יהיה זה מאסרו הראשון של הנאשם מאחורי סורג ובריח ולכן יש לשאוף כי משכו יהיה קצר באופן יחסי כדי שלא להשריש את הווית הכלא בנאשם, שאינו, כאמור, מאופיין בקווים עבריניים.",,,,,,,,,,,,,,,,,,,,,
"לגבי עתירת המאשימה להשתת פיצויים לטובת המתלוננת, נטען כי אין מקום לכך, שכן המתלוננת לא נפגעה ולא נחבלה ולמעשה לא נגרם לה כל נזק.",,,,,,,,,,,,,,,,,,,,,
אין חולק אודות חומרת מעשיו של הנאשם.,,,,,,,,,,,,,,,,,,,,,
"לכאורה, מדובר בעבירת נשק ברף הנמוך של עבירות הנשק – ירי באקדח באוויר בשטח פתוח, אך למעשה היתה במעשי הנאשם מידה משמעותית של חומרה כללית וכן סכנה למתלוננת.",,,,,,,,,,,,,['ירי'],,,,,,,,
"כפי שצוין לעיל, הנאשם הגיע ברכבו ליער כשהוא נושא עמו אקדח ותחמושת והזמין למקום את המתלוננת, עמה קיים עד סמוך ליום האירוע קשר שאופיין באובססיביות, רכושנות וקנאה.",,,,,,['אקדח'],,,,['ברכב'],,,,"['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",,,,,,,
"מאפיינים אלה של מערכת יחסים חולה ובעייתית, מובילים לא פעם לאלימות, מילולית ופיזית.",,,,,,,,,,,,,,,,,,,,,
"תחילה שוחחו השניים אודות מערכת היחסים ביניהם ובהמשך גלש האירוע לאלימות מילולית קשה מצד הנאשם ודי אם אפנה למשפטים שצוינו בכתב האישום המתוקן ואשר מצביעים כאלף עדים על כך כי הנאשם, שהינו אדם צעיר, חייב לקבל טיפול בהקשר לניהול מערכות יחסים עם בנות זוג.",,,,,,,,,,,,,,,,,,,,,
"האלימות המילולית גלשה חיש מהר לאלימות פיזית וגם אם המתלוננת לא נחבלה בגופה, לא ניתן לפרש את הירי – אמנם באוויר – אלא כהפעלת אלימות כלפי המתלוננת.",,,,,,,,,,,,,,,,,,,,,
"ברור כי אלמלא החזיק הנאשם שלא כדין באקדח, היה ""נחסך"" השימוש בנשק והדבר מוכיח פעם נוספת כי מעבר לחומרה  בעצם החזקת נשק שלא כדין, יש בכך סכנה נוספת שכן לא ניתן לדעת איזה שימוש מסוכן ייעשה בכלי נשק אלה על ידי אנשים שטמונה בהם מסוכנות אינהרנטית.",,,,,,['אקדח'],,,,,,,[],,,,,,,,
"חרף הנסיבות לעיל שעומדות לחובת הנאשם אפנה, מנגד, לנתונים הבאים שמקהים במידת מה מחומרת האירוע – העובדה כי הנאשם לא פגע פגיעה פיזית במתלוננת, העובדה כי הירי היה בשטח פתוח וכוון לאוויר, וכן כי הנאשם נשמע (הגם שלא מיידית) להוראות השוטרים שהגיעו למקום.",,,,,,,,,,[],,,['ירי'],"['נשק מופרד מתחמושת', 'נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",,,,,,,
"עיון בפסיקה הנוגעת לעבירות נשק שאינן מלוות בנסיבות ייחודיות, קרי – מקרים בהם הורשעו נאשמים בנשיאת והחזקת אקדח ""בלבד"" – מעלה כי המתחמים נעים סביב סדרי גודל של בין 10 ל 30 חודשי מאסר  - ר' לדוגמה בת.פ. (מחוזי חיפה) 21602-01-16 מדינת ישראל נ' אלפסי [פורסם בנבו] (16.2.18); בת.פ. (מחוזי חיפה) 36566-10-17 מדינת ישראל נ' עמאש (16.1.18); ת.פ. (מחוזי חיפה) 45228-07-16 מדינת ישראל נ' ג'בארין [פורסם בנבו] (30.4.17).",,,,,,,,,,,,,,,,,,[],[],[],
"ברור שהמתחם בענייננו צריך להיות גבוה מהמתחם לעיל, שכן הנאשם לא רק נשא אקדח, כבאותם מקרים, אלא הנשיאה לוותה, כפי שפורט בהרחבה לעיל, בנתונים המקנים לאירוע משנה חומרה.",,,,,,,,,,,,,,,,,,,,,
"בשים לב לכל האמור לעיל, אני קובע את מתחם העונש ההולם בין 20 חודשים ל 4 שנות מאסר בפועל.",,,,,,,,,,,,,,,,,,[],[],[],
"כאמור, הנאשם הינו אדם צעיר יחסית שעד למעצרו עבד לפרנסתו.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
לחובת הנאשם עבר פלילי אך הוא אינו מכביד באופן יחסי והעבירות בהן הורשע בוצעו בשנים 2011 ו 2012.,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : כן', '11 : כן']",,,,,,,,,,,,,,,,,,
כמו כן מדובר במאסר ראשון מאחורי סורג ובריח.,,,,,,,,,,,,,,,,,,,,,
"עמדתי לעיל על כך שהנאשם זקוק להתערבות טיפולית בנוגע לניהול מערכות יחסים עם בנות זוג וטוב יעשה הנאשם – בסיוע הגורמים המתאימים בשב""ס - באם יטפל בעצמו, שאם לא כן העתיד אינו מנבא, לצערנו, טוב בהקשר זה.",,,,,,,,,,,,,,,,,,,,,
עוד זקפתי לזכות הנאשם את הודייתו טרם שמיעת הראיות ואת קבלת האחריות על מעשיו.,,,,['כן'],,,,,,,,,,,,,,,,,
"תשומת לב שב""ס להערותיי לעיל בנוגע לשילוב הנאשם במסגרת טיפולית בנוגע לבעיית ניהול מערכת יחסים זוגית ובנוגע לבעיית האלכוהול.",,,,,,,,,,,,,,,,,,,,,
"24 (עשרים וארבעה) חודשי מאסר, וזאת החל מיום מעצרו של הנאשם בתיק זה – מיום 1.4.18.",,,,,,,,,,,,,,,,,,"['הנאשם קיבל 24 חודשי מאסר, שזה 2 שנים']",[],[],
"הנני דן את הנאשם למאסר לתקופה של 10 חודשים, וזאת על תנאי למשך שלוש שנים מיום שחרורו והתנאי הוא כי הנאשם לא יעבור עבירות נשק מסוג פשע.",,,,,,,,,,,,,,,,,,[],['10 חודשים'],[],
"הנני דן את הנאשם למאסר לתקופה של 4 חודשים, וזאת על תנאי למשך שלוש שנים מיום שחרורו והתנאי הוא כי הנאשם לא יעבור עבירות נשק מסוג עוון.",,,,,,,,,,,,,,,,,,[],['4 חודשים'],[],
"פיצוי למתלוננת בסכום של 4,000 ₪.",,,,,,,,,,,,,,,,,,,,,
