text,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE,GENERAL_CIRCUM,reject,CIR_TYPE,CIR_AMOUNT,CIR_ROLE,CIR_EQ,PUNISHMENT
במהלך המפגש שב הנאשם והציע לסוכן לרכוש ממנו סמים מסוג קנאביס.,,,,,,['סוג הסמים הוא קנאביס'],,,,
בתגובה השיב הסוכן כי אינו מתעסק בסמים מסוג קנאביס אלא רק בסמים סמוג קוקאין.,,,,,,"['סוג הסמים הוא קוקאין. הסוכן מציין שהוא מתעסק רק בסמים מסוג קוקאין, ולא בקנאביס']",,,,
הנאשם שאל את הסוכן כמה גרם קוקאין הוא מעוניין לרכוש והסוכן השיב 50 גרם לכל הפחות במחיר של 350 ₪ לגרם ואם ישיג עבורו 100 גרם יוכל לרכוש ב-300 ₪ לגרם.,,,,,,['הסוג של הסמים הוא קוקאין'],['50 - גרם'],,,
"בהתאם לאמור, סיכמו כי הנאשם ישיג עבור הסוכן מהאחר קוקאין בכמות של 50 גרם במחיר של 350 ₪ לגרם, כאשר סך כל התשלום עבור העסקת הסמים יהא בסך של 17,500 ₪.",,,,,,['סוג הסמים הוא קוקאין'],['50 - גרם'],,,
לאחר תיאום מראש עם האחר קיבל הנאשם ממנו סם במשקל 50.67 גרם עבור הסוכן.,,,,,,"['הסוג של הסמים הוא ""סם"" (הסם המוזכר בטקסט)']",['50.67 גרם - גרם'],,,
"מספר שעות לאחר מכן, סמוך לשעה 20:00, נפגשו הנאשם והסוכן, ובמהלך המפגש הנאשם מסר לסוכן סמים מסוג קוקאין במשקל של 50.67 גרם, ובתמורה לכך שילם לו הסוכן 17,500 ₪.",,,,,,['סוג הסמים הוא קוקאין'],['50.67 - גרם'],,,
"הנאשם קיבל את הסם מהאחר בתמורה ל-320 ₪ לגרם והרוויח בעסקה 1,500 ₪.",,,,,,"['הסוג של הסמים הוא קוקאין. הטקסט מציין שהנאשם קיבל קוקאין מהאחר בתמורה ל-320 ₪ לגרם, והרוויח 1,500 ₪ מהעסקה']","['1.5 ק""ג (יחידות: קילוגרמים)']",,,
"בהמשך, סיכמו כי הנאשם ישיג עבורו סם קוקאין במשקל של 100 גרם כבקשתו.",,,,,,['סוג הסמים הוא קוקאין'],,,,
"הנאשם מכר לסוכן סמים מסוג קוקאין במשקל של 99.95 גרם, ובתמורה לכך שילם לו הסוכן סך של 300,000 ₪ אותם העביר לאחר והאחר שילם לנאשם דמי תיווך בסך של 2,000 ₪.",,,,,,['סוג הסמים הוא קוקאין'],['הכמות של הסמים היא [99.95 - גרם]'],,,
במסגרת האישום השלישי הורשע הנאשם בעבירה של החזקת סמים שלא לצריכה עצמית לפי סעיף 7(א) ו-(ג) רישא לפקודה.,,,,,,,,,,
"זאת בשל כך, שביום 6.01.22 הוא החזיק ברכבו סמים מסוכנים מסוג קוקאין במשקל של 149.69 גרם, שלא לצריכה עצמית, שהוא אינו בעליהם.",,,,,,['הסוג של הסמים הוא קוקאין'],['149.69 גרם - גרם'],,,
"הוגש תסקיר שירות מבחן ממנו נלמד כי הנאשם בן 31, נשוי ואב לילדים.",,,,"['1 : לא', '2 : כן', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,
אחת מבנותיו נכה והוא עסוק בטיפול בה.,,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,
"עוד נלמד, שהנאשם גדל במערכת משפחתית נורמטיבית ומיטיבה.",,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,
"באשר לעבירות בהן הורשע, ציינה קצינת המבחן כי הנאשם מודה בהן, נוטל אחריות מלאה על ביצוען ואף הרשומה הפלילית של הנאשם ריקה.",,,,"['1 : לא', '2 : לא', '3 : לא', '4 : כן', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,
"אומנם, הנאשם התקשה להגיע למפגשי הקבוצה הטיפולית לנוכח מצבה הבריאותי של בתו הנכה, אך עם זאת, הנאשם ציין כי הקבוצה מהווה עבורו מסגרת מטיבה, ואף עבודתו החדשה מעוררת בו, לטענתו, תחושות חיוביות ומייצבות את מצבו הכלכלי.",,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,
"בנוסף, הומלץ על שילוב הנאשם במסגרת צו מבחן, למשך שנה, במהלכו ימשיך הנאשם את השתתפותו בקבוצה הטיפולית.",,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,
"באשר לנאשם, הצביעה ב""כ המאשימה על גילו הצעיר של הנאשם, העדר עברו הפלילי, והודאתו במיוחס לו, וכן על מצבה הרפואי המורכב של בתו.",,,,"['1 : כן', '2 : כן', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,
"לטענתם, משבר הקורונה והמצוקה הכלכלית, נכות בתו, דרבון הנאשם על ידי הסוכן המשטרתי לסחר בסמים מסוג קוקאין דווקא; כל אלו מעידים, לשיטתם, שהנאשם איננו סוחר סמים.",,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,['הסוג של הסמים שהוזכר בטקסט הוא קוקאין'],,,,
"ב""כ הנאשם התייחסו לתסקירים שהוגשו וציינו שהנאשם נשוי ואב לילדים; שהתקופה בהן בוצעו העבירות הייתה לאחר שפוטר מעבודתו; שכבר קרוב לשנתיים הנאשם מועסק בעבודה רציפה וכן שעל אף הקשיים שמלווים את הנאשם לאורך השיקום הטיפולי, עליו המליץ שירות המבחן, הנאשם טוען שהטיפול מהווה חלק משמעותי משגרת חייו והדבר מחזק אותו.",,,,"['1 : לא', '2 : כן', '3 : לא', '4 : לא', '5 : כן', '6 : לא', '7 : כן', '8 : כן', '9 : לא', '10 : כן', '11 : לא']",,,,,,
"לעומת מקרים אלו, במקרה שבפני, מבלי להמעיט מהתהליך הטיפולי החלקי בו נטל הנאשם חלק, תסקיר שירות המבחן אינו מלמד על תהליך כה משמעותי.",,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,
"אפשר שבמכלול הנסיבות יש לבוא לקראתו, בשים לב, להודאתו, נטילת האחריות, העדר עבר פלילי, ובשים לב למאמץ שכן עשה ובשים לב להשלכת העונש על בתו הנכה שהנאשם עסוק בטיפול בה, ולחרוג קמעא ממתחם העונש, מתוך תקוה שהנאשם ישלים את התהליך בין כותלי הכלא, וישתקם, אך אין מקום לחרוג מהכלל לפיו בהעדר הליך שיקומי משמעותי, העונש ההולם מעשים מעין אלו שביצע הנאשם, הוא מאסר מאחורי סורג ובריח.",,,,"['1 : כן', '2 : כן', '3 : לא', '4 : כן', '5 : כן', '6 : לא', '7 : כן', '8 : כן', '9 : לא', '10 : כן', '11 : לא']",,,,,,
"24 חודשי מאסר בפועל בניכוי ימי מעצרו בהתאם לרישומי שב""ס.",['הנאשם קיבל 24 חודשי מאסר בפועל'],[],[],,,,,,,
6 חודשי מאסר אשר לא ירוצו אלא אם הנאשם יעבור עבירת סמים מסוג פשע בתקופה של שלוש שנים.,[],['6 חודשי מאסר על תנאי'],[],,,,,,,
3 חודשי מאסר אשר לא ירוצו אלא אם הנאשם יעבור עבירת סמים מסוג עוון בתקופה של שלוש שנים.,[],['3 חודשי מאסר על תנאי'],[],,,,,,,
"קנס בסך של 8,000 ₪ או 30 ימי מאסר תחתם.",[],[],"['8,000 ₪']",,,,,,,
