text,reject,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE,GENERAL_CIRCUM,CIRCUM_OFFENSE,CONFESSION,CONFESSION_LVL2,CIR_TYPE_WEP,CIR_PURPOSE,CIR_PLANNING,CIR_MONEY_PAID_WEP,CIR_HELD_WAY_WEP,REGRET,RESPO,CIR_USE,CIR_STATUS_WEP,CIR_OBTAIN_WAY_WEP,CIR_BUYER_ID_WEP,CIR_AMMU_AMOUNT_WEP,PUNISHMENT
"חזר וטען, כי האקדח של בנו והוסיף, כי נטל אותו לרשותו ושם אותו ברכב, תוף חשש, שמי מילדיו יעשה עמו משהו.",,,,,,,,,['אקדח'],,,,,,,[],['נשק עם מחסנית בהכנס'],[],,,
"לדבריו, מסר כי האקדח אינו שלו לאור יעוץ מפשטי שקיבל והיום – אינו יודע מה לומר.",,,,,,,,,,,,,,,,,,[],,,
"הנאשם סיפר על נסיבותיו האישיות, לרבות שניהם מילדיו, הסובלים מנכות, כשההורים משמשים כאפוטרופסים שלהם.",,,,,"['1 : לא', '2 : כן', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,
"הנאשם סיפר, כי יש לו מגרש מכוניות וגם עסק לרחיצת מכוניות.",,,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,
"החזקת נשק על ידי מי שלא נבדק, לא נמצא מתאים ולא הוכשר לכך, בתנאים שאינם מבטיחים בידודו של הנשק מהסביבה (כיום, מי שמחזיק נשק ברישיון נדרש לאפסנו בכספת מאובטחת, מאחורי שני מנעולים), עלולה להביא לסיכון שלום הציבור, גם אם אין ראיות שהוחזק לצורך פעילות שלילית, כמפורט לעיל.",,,,,,,,,,,,,,,,,,,,,
"זאת, כדי לבלום את שרשרת העבירות בשלב ראשוני.",,,,,,,,,,,,,,,,,,,,,
"ערעור המדינה התקבל בהסכמת הצדדים, תוך שהוחמרו עונשי המאסר שהושתו על המשיבים ל-26 ו-31 חדשי מאסר בפועל (בהתאמה).",,,,,,,,,,,,,,,,,,,,,
"בפסק הדין ע.פ. 4945/13 מדינת ישראל נ' סלימאן (פורסם במאגרים), [פורסם בנבו], אושר מתחם ענישה שינוע בין שנה ועד שלוש שנות מאסר, בגין החזקת כלי נשק  בודד מסוג קרל גוסטב וכן מחסנית וכדורים.",,[],[],[],,,,,,,,,,,,,,,,,
"אף באותו מקרה, המדובר היה בצעיר, אשר ניהל אורח חיים נורמטיבי, כולל לימודים אקדמאיים בפקולטה לאדריכלות, ללא עבר פלילי.",,,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,
"גם באותו מקרה, המליץ שירות המבחן להסתפק בעונש מאסר בפועל לריצוי בדרך של עבודות שירות.",,,,,,,,,,,,,,,,,,,,,
"בית המשפט העליון ציין, כי ראוי לקבוע עונשים מרתיעים בגין עבירות אלה והעמיד המתחם שם בין 12 ועד 36 חדשי מאסר בפועל.",,[],[],[],,,,,,,,,,,,,,,,,
"שם, נדון נאשם בגין עבירה של נסיון להחזקת אקדח מסוג ברטה (העבירה תוקנה לנסיון, במסגרת הסדר טעון, בשל כך שהנשק לא היה תקין), וכן תת מקלע מאולתר, כשכלי הנשק הוחזקו בביתו של הנאשם שם, לעונש מאסר בן 20 חדשים בפועל.",,,,,,,,,['תת מקלע מאולתר'],,,,['בבית'],,,,"['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",,,,
"זאת, במסגרת מתחם כולל שנע בין 18 עד 42 חדשי מאסר.",,[],[],[],,,,,,,,,,,,,,,,,
"בשבתו כבית משפט לערעורים פליליים, דחה בית המשפט המחוזי, הרכב אב""ד כב' הנשיאה ר' יפה-כץ, ערעור ההגנה על חומרת העונש, תוך שמצא, כי חרף העדר אינדיקציה על שימוש פלילי או אחר המתוכן בנשק, ועל אף נסיבותיו האישיות של המערער שם (צעיר ללא עבר פלילי) – הרי הנסיבות האישיות ואינטרס השיקום, נדחים מפני האינטרס הציבורי של מיגור עבירות מסוג זה.",,,,,"['1 : כן', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,
"בפסק דין נוסף, שניתן בתקופה האחרונה, נדחה ערעור ההגנה על עונש בפועל בין 18 חודשים בתוספת מאסר מותנה וקנס בסך 12,000 ₪, שהושתו על צעיר שהחזיק כלי נשק מסוג תת מקלע מאולתר.",,['הנאשם קיבל 18 חודשי מאסר בפועל'],[],[],,,,,,,,,,,,,,,,,
"אותו מערר החזיק בנשק למשך עשרה ימים בלבד ואף הוסכם, כי החזיקו בעבור אחר.",,,,,,,,,,,,,,,,,,,,,
"מבחינת מדרג החומרה, הוצבה החזקה של רובה סער או תת מקלע – ברמה אחת לפני הרמה החמורה ביותר ואילו אחזקת נשק קצר - אקדח - ברמה נמוכה יותר.",,,,,,,,,"['אקדח סוג הנשק המדובר הוא אקדח, כיוון שהוא מוזכר כרמה הנמוכה ביותר במדרג החומרה, מתחת לרובה סער או תת-מקל']",,,,,,,,,,,,
"לנוכח הפסיקה, שפורטה באותה הנחיה, הונחתה התביעה הכללית לטעון למתחם שינוע בין שנתיים עד ארבע שנות מאסר בפועל בגין כל עבירה בודדת של החזקת רובה או תת מקלע; בין שנה לשלוש שנים בגין אחזקת נשק קצר מסוג אקדח; 6 חדשי מאסר בפועל, לריצוי בדרך של עבודות שירות, עד 6 חדשי מאסר בפועל ממש בגין אחזקת תחמושת.",,[],[],[],,,,,,,,,,,,,,,,,
"לאור כל האמור, מוצא בית המשפט לקבוע מתחם ענישה, בכל הנוגע לאחזקת נשק חם קצר, מסוג אקדח – חצי אוטומטי, שהוא מוחזק בלווית תחמושת מתאימה, במחסנית, מוכן לשימוש, בתוך כלי רכב – כך שינוע בין 15 עד 30 חודשי מאסר בפועל.",,['הנאשם קיבל 15 חודשי מאסר בפועל'],[],[],,,,,['אקדח'],,,,,,,,"['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",,,,
לחובת הנאשם דנן אין הרשעות קודמות.,,,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : כן']",,,,,,,,,,,,,,,,
הנאשם ניהל אורח חיים נורמטיבי.,,,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,
"בית המשפט לקח בחשבון גם את התנדבותו לשירות צבאי וכן היותו אב למשפחה ומטופל בילדים, לרבות שני ילדים בעלי צרכים מיוחדים.",,,,,"['1 : כן', '2 : כן', '3 : לא', '4 : לא', '5 : כן', '6 : לא', '7 : כן', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,
"מנגד, הנאשם כפר באשמה ואף ניהל ההליך באופן שהכביד על המערכת השיפוטית, הרבה מעבר למקובל.",,,,,,,['לא'],,,,,,,,,,,,,,
"בכך, שונה עניינו מהנאשם בתיק 47445-08-17 מדינת ישראל נגד גבועה, אשר נטל אחריות על מעשיו ואף היה מורשה לנשיאת כלי נשק ארגוני; כמו גם ניתנה, בעניינו, המלצה שיקומית – טיפולית מטעם שירות המבחן.",,,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : כן', '9 : כן', '10 : לא', '11 : לא']",,['לא'],,,,,,,,,,,,,,
"העובדה, כי הנאשם מוכר כראש פלג במשפחתו, המונה לא פחות מ-300 חברי השבט, בעל עסקים, המעסיק עובדים וכאדם מכובד, העוסק, בין היתר, בפתרון סכסוכים ובפעילות ציבורית – אינה בגדר נסיבה לקולה במקרה זה.",,,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,
ההיפך הוא הנכון: עיני הציבור ועיני בני משפחתו המורחבת של הנאשם – נשואות אליו.,,,,,,,,,,,,,,,,,,,,,
"אם יקל בית המשפט בעונשו של נאשם כזה, שהוא אדם נשוא פנים, בוגר, מנוסה, בעל שיקול דעת – מה יאמרו אזובי הקיר?",,,,,,,,,,,,,,,,,,,,,
"ההיפך הוא הנכון: הנאשם גדל במשפחה נורמטיבית; מצבו הכלכלי שפיר ביותר (אף עלה מהראיות, כי מנהל עסקים שונים, מחזיק בבעלותו כלי רכב בשווי יקר מאוד, לרבות הרכב שנתפס בפרשה זו); אין עדות להתמכרות כלשהי לחמרים משני תודעה כגון סמים או אלכוהול או למצב מצוקה אחר הדורש טיפול או שיקום.",,,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,
"האמור בנוגע לחשש להסגת מצבו אחור ולפגיעה כלכלית בעסקיו, אם יידון למאסר – נכון לגבי כל אדם, המפרנס משפחה.",,,,,,,,,,,,,,,,,,,,,
"עם זאת, לנוכח השיקולים לקולה, ובעיקר - שירותו הצבאי של הנאשם והיעדר הרשעות קודמות – יושת עונש על הרף הנמוך ביותר של מתחם הענישה.",,,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,
"כמובן, יושת על הנאשם עונש צופה פני עתיד, לבל יהין להחזיק שוב בכלי נשק כלשהו, חם או קר.",,,,,,,,,,,,,,,,,,,,,
"15 חודשי מאסר בפועל, בניכוי ימי מעצרו בהתאם לרישומי שב""ס;",,['15 חודשי מאסר בפועל'],[],[],,,,,,,,,,,,,,,,,
"12 חודשי מאסר על תנאי למשך 3 שנים מהיום; והתנאי – שהנאשם לא יעבור עבירה מסוג פשע בניגוד לסעיף 144 לחוק העונשין, תשל""ז – 1977;",,[],['12 חודשי מאסר על תנאי'],[],,,,,,,,,,,,,,,,,
"6 חודשי מאסר על תנאי למשך 3 שנים מהיום; והתנאי – שהנאשם לא יעבור עבירה מסוג עוון בניגוד לסעיף 144 לחוק העונשין, תשל""ז – 1977;  או עבירה בניגוד לסעיף 186 לאותו חוק;",,[],['6 חודשי מאסר על תנאי'],[],,,,,,,,,,,,,,,,,
"קנס בסך 10,000 ₪ או 90 ימי מאסר תמורתו.",,[],[],"['10,000 ₪']",,,,,,,,,,,,,,,,,
