text,reject,PUNISHMENT,GENERAL_CIRCUM,CIRCUM_OFFENSE,CONFESSION,CIR_TYPE_WEP,CIR_PURPOSE,CIR_PLANNING,CIR_MONEY_PAID_WEP,CIR_HELD_WAY_WEP,REGRET,RESPO,CIR_USE,CIR_STATUS_WEP,CIR_OBTAIN_WAY_WEP,CIR_BUYER_ID_WEP,CIR_AMMU_AMOUNT_WEP,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE,CONFESSION_LVL2
"בנוסף, הוגש בהסכמה מכתב המופנה לבית המשפט של אל""מ במילואים איינהורן דורון, סמנכ""ל חטיבת ההובלה בחברת תעבורה, ממנו עולה כי הוא מכיר את הנאשם מזה 10 שנים כאשר הגיע (העד) לעבוד בחברה.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,,,,,,,
"ב""כ המאשימה ציינה בטיעוניה, כי ביום ביצוע העבירה נרצחה אחותו של הנאשם בפתח ביתה, ובעלה ובנה נורו אף הם ונפצעו אנושות.",,,,,,,,,,,,,,,,,,,,,
"היא ציינה כי הקושי הראייתי קיים לגבי כתב האישום המתוקן, אולם משבחר הנאשם להודות לגישתה, 10 חודשי מאסר, הוא עונש ראוי ומאוזן.",,,,,['כן'],,,,,,,,,,,,,,,,
"ב""כ הנאשם טען כי הסתבכותו של הנאשם נגרמה בעקבות הסיטואציה הטראגית שבה מצא עצמו באותו יום, כאשר אחותו נרצחה בפתח ביתו ובעלה ובנה נפצעו קשה.",,,"['1 : לא', '2 : כן', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
"הוא ציין כי על פי ראיות התביעה, נוכחותו במקום במהומה שפרצה לאחר האירוע הטראגי הייתה לשם השכנת שלום ומניעת אלימות והנאשם הודה למרות הקושי הראייתי בהוכחת כתב האישום המתוקן והסיכוי הלא מבוטל שהדיון היה מסתיים בזיכוי.",,,,,['לא'],,,,,,,,,,,,,,,,
"בנסיבות אלה, לשיטתו, לקיחת האחריות והבעת החרטה בשל טעות שעשה הנאשם, היא כנה ואמיתית וצריכה לקבל ביטוי משמעותי בגזירת הדין.",,,,,['לא'],,,,,,,,,,,,,,,,
"ועוד, הנאשם נעצר רק אחרי חודש ובמהלך כל התקופה הוא תפקד באופן רגיל.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,,,,,,,
"ועוד, בנו של הנאשם עבר לפני שלוש שנים תאונת דרכים קשה, הוא עובר תהליך שיקום, בסיוע הנאשם.",,,"['1 : לא', '2 : כן', '3 : לא', '4 : לא', '5 : כן', '6 : לא', '7 : כן', '8 : כן', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,,,,,,,
"הנימוקים שפורטו בפני, תוך מתן דגש מיוחד לקושי הראייתי, שבפניו ניצבה התביעה (שלא היה במחלוקת) ואישיותו המיוחדת של הנאשם, הביאו אותי למסקנה כי עניינו של הנאשם נמנה עם אותם מקרים חריגים המצדיקים התחשבות בנסיבות הכוללות של האירוע, דלותן של הראיות ובנסיבות האישיות של הנאשם.",,,,,,,,,,,,,,,,,,,,,
הוא החזיק בנשק לאחר שאחותו נרצחה בפתח ביתם.,,,,,,,,,,,,,,,,,,,,,
"למרות היריות שנורו לאחר הרצח, הנאשם לא עשה שימוש בנשק ופניו היו לשלום.",,,,,,,,,,,,,[],,[],,,,,,
"הנאשם, אדם חיובי לכל הדעות.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
"הרשעתו הקודמת הינה ישנה, מלפני 8 שנים, ואין בה כדי לשנות עמדתי.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,,,,,,,
"6 חודשי מאסר שירוצו בעבודות שירות, בכפוף לחוות דעתו של הממונה על עבודות שירות.",,,,,,,,,,,,,,,,,,[],[],[],
"10 חודשי מאסר על תנאי למשך 3 שנים, שלא יעבור עבירה לפי סעיף 144 לחוק העונשין תשל""ז – 1977.",,,,,,,,,,,,,,,,,,[],['הנאשם קיבל 10 חודשי מאסר על תנאי למשך 3 שנים'],[],
"קנס בסך 2,500 ₪ או 30 ימי מאסר תמורתו.",,,,,,,,,,,,,,,,,,[],[],"['2,500 ₪']",
