text,reject,PUNISHMENT,GENERAL_CIRCUM,CONFESSION,CONFESSION_LVL2,CIR_TYPE_WEP,CIR_PURPOSE,CIR_PLANNING,CIR_MONEY_PAID_WEP,CIR_HELD_WAY_WEP,REGRET,RESPO,CIR_USE,CIR_STATUS_WEP,CIR_OBTAIN_WAY_WEP,CIR_BUYER_ID_WEP,CIR_AMMU_AMOUNT_WEP,CIRCUM_OFFENSE
"העיד החוקר פינחס פינטו (להלן: ""החוקר פינטו"") (עמ' 13-14) והוגשה הודעתו של ריאן סלאמה, אשר אישר כי המשטרה מצאה את הנשק מחוץ לבית, במרחק של כ- 15 מטרים ממנו, מעבר לגדר (ת/14).",,,,,,,,,,['סמוך לבית'],,,,"['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",,,,
"הוגשה חוות דעת ביולוגית, חוות דעת מומחה לנשק, דוח טביעות אצבעות (השוואה ראשונית), אשר קובע כי נמצאו טביעות אצבע של הנאשם על גבי הנשק, צו חיפוש חתום כדין אשר מתיר למשטרה לבצע חיפוש בביתו של הנאשם, לרבות בחצרו, ולתפוס אמל""ח או כל חפץ שהחזקתו אסורה; אישור בדבר היות המוצג ""נשק"";",,,,,,,,,,,,,,,,,,
"העיד מר סול גרינברג, אשר שימש כרמ""ח בתחנה (להלן: ""הרמ""ח סול"") (עמ' 17).",,,,,,,,,,,,,,,,,,
"הרמ""ח סול מסר כי לא זכור לו שהנאשם העלה טענה לפיה ייתכן שטביעות אצבעותיו הגיעו לאיזולירבנד כיוון שהוא טכנאי מזגנים.",,,,,,,,,,,,,,,[],,,
"הוגש דוח תיעוד פיתוח טביעות אצבע שרשם הרס""מ יהונתן דוסטאר (להלן: ""הרס""מ דוסטאר"") (ת/24); מזכר שרשם הרס""מ דוסטאר, לפיו רצועת הסרט הדביק הצהובה הייתה מלופפת כ- 5 ליפופים סביב המחסנית, וטביעת אצבע שפותחה מצידה הדביק נמצאה כ- 10 ס""מ מתחילת התרת הליפוף (ת/25).",,,,,,,,,,,,,,,,,,
"הרס""מ דוסטאר העיד בבית המשפט (עמ' 18) והסביר כי הוא טכנאי מז""פ.",,,,,,,,,,,,,,,,,,
הוא מצא טביעת אצבע שעל גבי סרט דביק שעטף את המחסנית.,,,,,,,,,,['סמוך לבית'],,,,,,,,
"אורך הסרט היה בערך 20 ס""מ.",,,,,,,,,,,,,,,,,,
"טביעת האצבע הייתה ממוקמת בערך 10 סמ""מ מתחילת התרת הליפוף, בצד הדביק הפנימי של הסרט (עמ' 19, ש' 16).",,,,,,,,,,,,,,,,,,
"בחקירתו הנגדית, מסר הרס""מ דוסטאר כי הוא הפריד את נייר הדבק בעצמו.",,,,,,,,,,,,,,,,,,
"הוא פיתח את טביעת האצבע, צילם ושלח למטה הארצי (עמ' 20).",,,,,,,,,,,,,,,,,,
"העידה רס""מ מירי כהן (להלן: ""החוקרת"") (עמ' 27).",,,,,,,,,,,,,,,,,,
"לדבריה, הנאשם נחקר בשנית, לאחר שכבר שוחרר מהמעצר לצרכי חקירה.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : כן', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,
החוקרת הכחישה שגידפה את הנאשם בחקירה (עמ' 28).,,,,,,,,,,,,,,,,,,
בחקירה היא הציגה לו תמונה.,,,,,,,,,,,,,,,,,,
"הוגשה חוות דעת מומחה מז""פ, אשר נערכה ע""י הגב' מיכל בית יוסף, לפיה קיימת התאמה בין טביעת האצבע שנדגמה לבין טביעת אצבע יד ימין של הנאשם (ת/39).",,,,,,,,,,,,,,,,,,
"הוגש אף נייר הדבק עצמו, בצבע צהוב, שעליו נמצאה טביעת האצבע (ת/40).",,,,,,,,,,,,,,,,,,
"לדבריו, הנשק לא קשור אליו, הוא לא צריך נשק ואין לו סכסוכים.",,,,,,,,,,,,,,,,,,
הוא נכח בחיפוש וראה שהשוטרים הביאו את הנשק מאחורי הבית.,,,,,,,,,,[],,,[],['נשק עם מחסנית בהכנס'],[],,,
"לדבריו, הוא לא ראה את הנשק קודם לכן ולא נגע בנשק.",,,,,,,,,,,,,[],[],[],,,
"כאשר נשאל מה תהיה תשובתו אם יימצאו טביעות אצבע שלו על הנשק, השיב כי הוא לא נגע בנשק, כך שלא יהיו טביעות אצבע שלו על הנשק (ת/9, ש' 14-15).",,,,,,,,,,,,,,,,,,
"לדבריו, גם אף אחד אחר ממשפחתו אינו עוסק בנשק, ואין לו סכסוכים.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,
"בהודעתו השנייה, הוטח בו שנמצאה טביעת אצבע שלו על גבי הנשק.",,,,,,,,,,,,,,,,,,
הנאשם חזר על הכחשתו ולא מסר הסבר אפשרי להימצאות טביעת האצבע על-גבי הנשק.,,,,,,,,,,,,,,,,,,
הנאשם שוב הכחיש שנגע בנשק.,,,,,,,,,,,,,,,,,,
"החוקרת הציגה לנאשם תמונה של הנשק שנתפס צמוד לביתו, והחשוד הכחיש שנגע בנשק.",,,,,,,,,,,,,,,,,,
"החוקרת הטיחה בנאשם שטביעות האצבע שלו נמצאו על גבי סרט דביק שעטף את המחסנית, והנאשם הכחיש את הדברים, ולא מסר שום הסבר לכך.",,,,,,,,,,[],,,,['נשק עם מחסנית בהכנס'],,,,
אתה נגעת בנשק הזה פעם.,,,,,,,,,,,,,,,,,,
"אין לי טביעות אצבע, כי לא נגעתי, השופט שחרר אותי, ואין לי מה להוסיף.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,
"אתם יכולים להגיד מה שאתם רוצים, אני אמרתי את שלי.",,,,,,,,,,,,,,,,,,
אז אין לך הסבר איך טביעת האצבע שלך הגיעה לנשק.,,,,,,,,,,,,,,,,,,
הנאשם העיד להגנתו (עמ' 31).,,,,,,,,,,,,,,,,,,
"לדבריו, הוא עבד עד לאירוע בשתי עבודות: בלילות במאפייה ובימים כטכנאי מזגנים (עמ' 31, ש' 21-22).",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,
הוא למד לעבוד עם מזגנים במכללת און ליין בפתח תקווה.,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,
"הוא עבד גם בכוכב הקור, ולאחר מכן כעצמאי.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,
הוא עובד כמתקין מזגנים.,,,,,,,,,,,,,,,,,,
הנאשם הכחיש שהחזיק בנשק.,,,,,,,[],,,,,,[],,[],,,
"לדבריו, בחקירה השנייה שלו, החוקרת התנהגה אליו בצורה לא ראויה, ולא הראתה לו כלום.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : כן', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,
ייתכן שטביעות האצבע שלו הגיעו לסרט הדביק משום שכטכנאי מזגנים הוא משתמש הרבה באיזולירבנד לשם ליפוף צנרת בין המאייד למעבה של המזגן (עמ' 32).,,,,,,,,,,,,,,,,,,
"בחקירתו הנגדית נשאל הנאשם מדוע סירב לחתום על טופס החיפוש, והשיב כי עשו חיפוש מהבוקר עד השעה 12:00, אמרו לו שהכל תקין, ביקשו שיחתום, ולאחר מכן אחד השוטרים קפץ למטע הזיתים, חזר ואמר לו שהוא עצור (עמ' 32, ש' 30-32).",,,,,,,,,,,,,,"['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",,,,
"לאחר מכן, העיד הנאשם כי הוא זוכר שחתם על דוח החיפוש, וכאשר הוצג לו דוח החיפוש שעל גביו רשום שהוא מסרב לחתום, השיב שחתם על דוח החיפוש או על החקירה.",,,,,,,,,,,,,,,,,,
"הנאשם נשאל מדוע לא חתם על צו החיפוש אם לטענתו בהתחלה היה מעוניין לשתף פעולה, והשיב כי אם הוא חושב שהחוקר משקר, אז לא ידבר (עמ' 33, ש' 8-9).",,,,,,,,,,,,,,,,,,
"הנאשם טען שהשוטרים הביאו את הנשק ממטע הזיתים ושיקרו לו כשאמרו ""זה בבית שלך"" (עמ' 33, ש' 17).",,,,,,,,,,,,,,,[],,,
"מטעם ההגנה העיד מר אשר פריינטה אשר מסר כי הוא יודע שהנאשם עבד במזגנים, וכי היה עד להתקנת מזגן על-ידי הנאשם (עמ' 42).",,,,,,,,,,,,,,,,,,
הנאשם השתמש בסרט דביק בעבודתו.,,,,,,,,,,,,,[],,,,,
"בחקירתו הנגדית התחמק הנאשם מלהשיב לשאלות, ומסר תשובות שאינן מניחות את הדעת.",,,,,,,,,,,,,,,,,,
"כך למשל, כאשר נשאל מדוע בתום החיפוש סירב לחתום, השיב הנאשם כי סירב לחתום משום שעשו את החיפוש מהבוקר עד השעה 12:00, אמרו לו שהכל תקין, ושיחתום, ולאחר מכן, אחד השוטרים קפץ למטע הזיתים, חזר ואמר לו שהוא עצור.",,,,,,,,,,,,,,"['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",[],,,
"דברים אלה של הנאשם אינם מתיישבים עם עדויות השוטרים, וספק רב בעיני אם הנאשם נתבקש לחתום על דוח החיפוש, בטרם הסתיים החיפוש, וככל שאכן נתבקש, לא ברור מדוע סירב.",,,,,,,,,,,,,,,,,,
"נראה כי העוינות שגילה הנאשם כלפי המשטרה החלה כבר בשלב החיפוש, בטרם נמצאו טביעות האצבע של הנאשם, ונמשכה אף במהלך הדיונים בבית-המשפט בהתנהגותו של הנאשם כלפי עדי התביעה באולם בית-המשפט (עמ' 22, ש' 2).",,,,,,,,,,,,,,,,,,
"בהמשך חקירתו הנגדית, העיד הנאשם כי הוא זוכר שחתם על דוח החיפוש, וכאשר הוצג לו דוח החיפוש שעל גביו רשום שהוא מסרב לחתום, השיב שחתם על דוח החיפוש או על החקירה.",,,,['לא'],,,,,,,,,,,,,,
ניכר כי הנאשם התאים את תשובותיו לעובדות שהוצגו לו ולא דבק באמת.,,,,,,,,,,,,,,,,,,
"לנאשם לא היה הסבר מדוע סירב לחתום על דוח החיפוש, אם לטענתו בתחילה רצה לשתף פעולה.",,,,,,,,,,,,,,,,,,
"כך למשל, הנאשם העלה לראשונה בחקירתו הנגדית טענה שהשוטרים שיקרו לו כשאמרו לו שהנשק נמצא בביתו (עמ' 33, ש' 17).",,,,,,,,,,,,,,,,,,
"מדובר בטענה שכלל לא הוצגה לשוטרים, וספק רב אם יש בה אמת, בשים לב לכך שהנאשם ראה שהנשק הובא מעבר לגדר מאזור מטע הזיתים.",,,,,,,,,,[],,,[],,,,,
"באופן דומה, רק בסוף חקירתו הנגדית טען הנאשם שהסולם כלל לא היה שעון על הגדר, אלא השוטר לקח את הסולם מהמחסן שלו, והניחו על הגדר (עמ' 40, ש' 8).",,,,,,,,,,,,,,,,,,
"שוב מדובר בטענה כבושה, שהועלתה לראשונה לקראת תום המשפט, ולא הוצגה לאיש מן השוטרים שהעידו במשפט.",,,,,,,,,,,,,,,,,,
הנאשם פסח על שני הסעיפים כאשר נתבקש לתאר את תחושתו כלפי המשטרה בשלבים הראשונים.,,,,,,,,,,,,,,,,,,
"כך למשל, השיב שהחוקר פינטו התייחס אליו באופן הוגן וכיבד אותו, ובו זמנית טען שברגע שיצא מהבית, כבר חשד בשוטרים.",,,,,,,,,,,,,,,,,,
"הנאשם התחמק מלהשיב לשאלה אם החוקרת הציגה לו את התמונה של הנשק, אם לאו, והשיב שאינו זוכר, אך ייתכן שהוצגה לו (עמ' 35, ש' 1-9).",,,,,,,,,,,,,,,,,,
"כאשר לא היו בפי הנאשם תשובות מניחות את הדעת לב""כ המאשימה, התחמק מלהשיב וטען שאינו זוכר דבר.",,,,,,,,,,,,,,,,,,
"כך למשל השיב: ""אתה זוכר מה אכלת אתמול?"" (עמ' 35, ש' 12).",,,,,,,,,,,,,,,,,,
"באופן דומה, ניסה הנאשם להסיט בתשובותיו את הדיון לנושאים אחרים במקום להשיב לשאלות (עמ' 35, ש' 16).",,,,,,,,,,,,,,,,,,
"הנאשם אף סירב לאשר שהחתימה אשר מופיעה על גבי ההודעה היא חתימתו (עמ' 35, ש' 28).",,,,,,,,,,,,,,,,,,
באופן דומה טען שאינו זוכר את החתימה.,,,,,,,,,,,,,,,,,,
"כך, על חלק ניכר משאלות ב""כ המאשימה בחקירה נגדית העדיף הנאשם לבחור באסטרטגיית תשובות לפיה אינו זוכר, במקום להשיב באופן ענייני.",,,,,,,,,,,,,,,,,,
"אף בהמשך חזר הנאשם והתחמק מלהשיב לשאלות, כדבריו: ""עזוב אותי בשקט"" (עמ' 36, ש' 24).",,,,,,,,,,,,,,,,,,
"גרסתו של הנאשם, לפיה ייתכן שטביעת האצבע שלו הגיעה לסרט הדביק בשל העובדה שהוא עובד במזגנים ועושה שימוש בסרט דביק אינה יכולה להתקבל, ולו ברמה של העלאת ספק סביר.",,,,,,,,,,,,,,,,,,
מדובר בגרסה כבושה לכל הדעות.,,,,,,,,,,,,,,,,,,
"בחקירתו הראשונה של הנאשם, בטרם נמצאה טביעת האצבע, הכחיש הנאשם כל אפשרות שהוא נגע בנשק ושלל כל אפשרות שיימצאו טביעות אצבעות שלו על גבי הנשק.",,,,,,,,,,,,,,,,,,
"לאחר שנמצאה טביעת האצבע של הנאשם על גבי הסרט, תושאל הנאשם בשנית, והוטח בו שנמצאה טביעת האצבע שלו על הנשק.",,,,,,,,,,,,,,,,,,
הנאשם חזר על הכחשתו ולא מסר שום הסבר לכך.,,,,['לא'],,,,,,,,,,,,,,
"בחקירתו השלישית, הוטח בו שטביעת האצבע נמצאה על גבי הסרט הדביק שהיה מלופף סביב המחסנית, והנאשם שוב לא מסר הסבר לכך.",,,,,,,,,,[],,,,['נשק עם מחסנית בהכנס'],,,,
"במשך שלוש חקירות לא העלה הנאשם את הסברא האמורה, ובפרט בחקירתו השלישית, לאחר שנועץ בעו""ד, ולאחר שהוטח בו ברחל בתך הקטנה שטביעת האצבע נמצאה על הסרט הדביק שבו הייתה עטופה המחסנית, ואף הוצגה לו תמונה של הנשק, שבה ניתן לראות בבירור את הסרט הדביק עוטף את המחסנית, לא מסר הנאשם את הגרסה האמורה.",,,,,,,,,,[],,,,"['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",,,,
"חקירתו זו של הנאשם הייתה כשהוא אינו עצור, ויום אחרי שכבר נאמר לו שנמצאו טביעות אצבע שלו על-גבי הנשק, והיה לו זמן מספיק לשקול את גרסתו, ובכל זאת לא העלה הנאשם את האפשרות שטביעת האצבע שלו הגיעה לסרט הדביק בשל עבודתו בתחום המזגנים.",,,,,,,,,,,,,,,,,,
"אמנם, ייתכן בהחלט שהנאשם אכן עובד כטכנאי מזגנים, אך לא שוכנעתי כי טביעת האצבע של הנאשם הגיעה לסרט הדביק בקשר לעבודתו בתחום המזגנים, אלא שוכנעתי שהנאשם עצמו הוא שליפף את הסרט הדביק על גבי המחסנית, ומכאן שהחזיק בנשק.",,,,,,,,,,,,,[],,,,,
"הנאשם ניסה להסביר את העובדה שלא הציג את ההסבר בעת חקירתו השלישית בכך שהחוקרת התייחסה אליו בצורה לא נאותה וגידפה אותו, ולכן לא שיתף עמה פעולה.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : כן', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,
"לדבריו, החוקרת גידפה אותו ואיימה עליו (עמ' 36,ש' 20-21), והוסיף וטען שהחוקרת חקרה אותו כשהוא בלי אוכל, בלי מים ובלי סיגריות בחקירה, כשהיא מגדפת אותו ומאיימת עליו (עמ' 38, ש' 30-31).",,,,,,,,,,,,,,,,,,
"החוקרת הכחישה את הדברים, ואף עיון בחקירה עצמה מעלה כי החקירה השנייה הינה קצרה ביותר, 12 שורות בלבד, והחקירה השלישית אף היא הייתה קצרה, 27 שורות בלבד, ונמשכה פחות מ- 20 דקות.",,,,,,,,,,,,,,,,,,
"אפילו כאשר נשאל הנאשם שאלות בתחום המזגנים מסר תשובות שאינן חד-משמעיות, כדבריו: ""אני מחליף צבעים, אני משתמש בכל הסוגים"" (עמ' 37, ש' 10), ""יש כל מיני סוגים, יש טוב ולא טוב"" (עמ' 38, ש' 3); ""יכול להיות שרואים את הסרט מחוץ למזגן"" (עמ' 38, ש' 9-10); ""בחלק הפנימי והחיצוני"" (עמ' 38, ש' 12);",,,,,,,,,,,,,,,,,,
"גם טענתו של הנאשם, לפיה ייתכן שמישהו שתל את נייר הדבק עם טביעת האצבע שלו מהסרטים שלו ושם בכוונה על הנשק כדי להפלילו, אינה יכולה להתקבל ולו ברמה של ספק סביר (עמ' 38, ש' 23).",,,,,,,[],,,,,,,,,,,
"בחצרו של הנאשם נמצא סולם, אשר הושען על גדר.",,,,,,,,,,,,,,,,,,
"מעברה של הגדר נמצא שטח פתוח, ובו נמצא הנשק כשהוא מוסלק ועטוף.",,,,,,,,,,,,,,,,,,
"בבית המחסנית של הנשק נמצאה מחסנית, אשר הייתה מלופפת בסרט דביק (איזולירבנד).",,,,,,,,,,"['בבית', 'על גופו']",,,,['נשק עם מחסנית בהכנס'],,,,
"בחלק הדביק, הפנימי, של הסרט הדביק, כ- 10 ס""מ מתחילת התרת הליפוף, נמצאה טביעת אצבע של הנאשם.",,,,,,,,,,,,,,,,,,
"הראיה המרכזית אשר קושרת את הנאשם למעשה הינה טביעת אצבע שנמצאה בחלק הפנימי של הסרט הדביק שנמצא כ-  10 ס""מ לאחר התרת הליפוף.",,,,,,,,,,,,,,,,,,
"האפשרות שלאחר שהנאשם עשה שימוש בסרט הדביק לצורך התקנת מזגן, מישהו הסיר את הסרט הדביק (באורך 20 ס""מ) מהמזגן, עשה בו שימוש חוזר כדי ללפף את המחסנית והסליק את הנשק בסמוך לחצרו של הנאשם, אינה סבירה בעיני, ואף אין בה כדי לעורר ספק סביר.",,,,,,,,,,[],,,[],"['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",,,,
"זאת בפרט כאשר גליל שלם של סרט דביק עולה שקלים בודדים בלבד (2 ₪ כגרסת הנאשם, עמ' 38, ש' 16-17).",,,,,,,,,,,,,,,,,,
חיזוק לכך קיים בעובדה שהנשק והמחסנית נמצאו חבויים מחוץ ובסמוך לחצר ביתו של הנאשם.,,,,,,,,,,,,,,,,,,
"עוד יש לציין את התנהלותו המחשידה של הנאשם ותשובותיו המתחמקות, החל מחקירותיו במשטרה וכלה בעדותו בבית-המשפט.",,,,,,,,,,,,,,,,,,
"השאלה המשפטית המרכזית בתיק זה הינה האם ניתן לקבוע על סמך גילוי טביעת האצבע של הנאשם, כי המאשימה הוכיחה את אשמתו של הנאשם מעבר לספק סביר.",,,,,,,,,,,,,,,,,,
"יישום המבחנים האמורים למקרה דנן מעלה כי בשלב הראשון קיימת ראייה נסיבתית של טביעת אצבע של הנאשם, אשר נמצאה על גבי הסרט הדביק שלופף סביב מחסנית הנשק.",,,,,,,,,,['סמוך לבית'],,,"['ירי', 'ניסיון לירי', 'הפעלת מטען']",['נשק עם מחסנית בהכנס'],,,,
"כמו-כן, יש ליתן משקל לכך שהנשק הוסתר בסמוך לחצרו של הנאשם, וכן להתנהגותו של הנאשם במהלך החקירות וההליך.",,,,,,,,,,,,,,,,,,
"העובדה שטביעת האצבע נמצאה בחלקו הפנימי של הסרט הדביק, כ- 10 ס""מ לאחר תחילת התרת הליפוף (מתוך 20 ס""מ של הסרט שליפף את המחסנית), מובילה למסקנה, כפי שהיה בפרשת אלמליח, שחלק זה של הסרט הדביק לא היה חשוף למגע אקראי, ומכאן שכוחה הראייתי של טביעת האצבע רב.",,,,,,,,,,,,,,['נשק עם מחסנית בהכנס'],,,,
"סבורני כי ההסבר שמסר הנאשם בעדותו בבית-המשפט, בדבר הגעת הסרט הדביק לנשק כתוצאה משימוש חוזר שעשה בו אדם אחר לאחר שהנאשם השתמש בו במסגרת עבודתו כטכנאי מזגנים, אינו יכול להתקבל כהסבר אשר מעורר ולו ספק סביר.",,,,,,,,,,,,,,,,,,
"גרסת הנאשם היא גרסה כבושה ומתפתחת, ללא הסבר לכבישת העדות, אינה מבוססת בחומר הראיות, ואינה מתיישבת עם האמור בהליך אלמליח לעיל ועם מבחני ההיגיון והשכל הישר.",,,,,,,,,,,,,,,,,,
