text,reject,PUNISHMENT,GENERAL_CIRCUM,CIRCUM_OFFENSE,CONFESSION,CONFESSION_LVL2,CIR_TYPE_WEP,CIR_PURPOSE,CIR_PLANNING,CIR_MONEY_PAID_WEP,CIR_HELD_WAY_WEP,REGRET,RESPO,CIR_USE,CIR_STATUS_WEP,CIR_OBTAIN_WAY_WEP,CIR_BUYER_ID_WEP,CIR_AMMU_AMOUNT_WEP
הנאשם והקושרים עשו כן בכוונה תחילה לגרום למותו של המתלונן.,,,,,,,,,,,,,,,,,,
המתלונן והמנוח נכנסו לרכב כאשר המנוח יושב על כסא הנוסע שליד  הנהג והמתלונן על כסא הנהג.,,,,,,,,,,,,,,,,,,
"משהחל המתלונן בנסיעה לאחור, כדי לצאת מהחניה, התפוצץ המטען.",,,,,,,,,,,[],,,[],[],,,
"כתוצאה מהפיצוץ, נגרם מותו של המנוח במקום.",,,,,,,,,,,,,,,,,,
"כתוצאה מהפיצוץ נפצע המתלונן, בין היתר, חדרו רסיסים לרגלו בירך ימין ולעינו הימנית והמתלונן, נזקק לניתוחים להוצאת הרסיסים ולטיפול בפציעתו.",,,,,,,,,,,,,,,,,,
"בתאריך 2.3.03, על דעת פרקליטת מחוז תל-אביב, עוה""ד רות דוד, נחתם עם הנאשם המסמך ז/59, שכותרתו ""נספח להסכם עד מדינה"", על פיו קיבל הנאשם מעמד של עד-מדינה גם בפרשה נשוא כתב-האישום, לאחר שהביע נכונות לחשוף ""מעורבותם של חשודים אשר ביצעו את רצח אביב אילוז"" (להלן – ההסכם השני).",,,,,,,,,,,,,,,,,,
"במסגרת ראיון של הנדון לקראת מסירת עדות בת.פ.ח. 1146/02, מסר הנדון גרסאות השונות בחלקן מאמרותיו במשטרה ובכך הפר את ההסכם עמו."" (ראו מסמך ז/83).",,,,,,,,,,,,,,,,,,
"ביום 28.3.04, בנסיבות המתוארות, שב הנאשם וכפר בעובדות הנקובות בכתב-האישום וטען כי ההודאות שנגבו ממנו במשטרה אינן קבילות כראיות נגדו.",,,,,['לא'],,,,,,,,,,,,,
"בעקבות התנגדותו של הנאשם לקבילות הודאותיו במשטרה וטענתו שהן נמסרו על-סמך הבטחות חוקרי הימ""ר שלא יועמד לדין בפרשת הרצח, ומנגד טענת המאשימה, כי מעולם לא ניתנה לנאשם הבטחה לפיה, אם יודה במעורבותו בפרשה זו, ייחתם עימו הסכם עד-מדינה, שיכלול את הפרשה (סעיף 4 לסיכומי המאשימה במשפט הזוטא) – נערך משפט זוטא, שנימוקי ההתנגדות תחמו אותו ובמסגרתו נדונה ונבחנה התנגדות הנאשם לקבילות הודאותיו.",,,,,['לא'],,,,,,,,,,,,,
"ביום 16.11.04 ניתנה החלטתנו במשפט הזוטא בה קבענו, שהמאשימה לא הוכיחה במידה הנדרשת ממנה כי הנאשם מסר את הודאותיו - בין בכתב ובין בעל-פה - מרצון טוב וחופשי.",,,,,['לא'],,,,,,,,,,,,,
"הראשון, בין ה-21.7.02 – מועד בו נחקר הנאשם לראשונה בחשד למעורבות ברצח, וכלה ביום 2.3.03, המועד בו נחתם ההסכם השני (להלן – פרק הזמן הראשון).",,,,,,,,,,,,,,,,,,
"ההגנה טוענת, כי ההודאות, שניתנו על-ידי הנאשם בפרק הזמן הראשון, נמסרו לאחר שלנאשם ניתנה הבטחה ברורה וממשית שכל מה שהוא מוסר, יחסה בסופו של יום בצל ההסכם, אשר אכן נחתם, וכי ההודאות שניתנו על-ידי הנאשם בפרק-הזמן השני, חסו בצילו.",,,,,['לא'],,,,,,,,,,,,,
"מנגד טוענת המאשימה לגבי פרק-הזמן הראשון, כי מעולם לא ניתנה לנאשם הבטחה לפיה, אם יודה במעורבותו בפרשת הרצח, ייחתם עימו הסכם עד-מדינה, שיכלול אותה וכי לא היה לו כל יסוד סביר והגיוני להניח שהוא מודה בה במסגרת הבטחה להסכם עד-מדינה.",,,,,['לא'],,,,,,,,,,,,,
"עוד טוענת המאשימה, בהתייחס לפרק-הזמן הראשון, כי גם אם ניתנה לנאשם הבטחה, לא נתקיים קשר סיבתי חד וברור בינה לבין הודאתו וכי מניעים אחרים המלמדים על רצון חופשי, הביאוהו להודות, והם מצפונו, כעסו על כך שאחיו הפלילו אותו ומעגל הראיות שהחל סוגר עליו.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,['לא'],,,,,,,,,,,,,
"באשר לפרק הזמן השני, טוענת המאשימה כי היות והיוזמה לכריתת ההסכם באה מטעמו של הנאשם והיות שהנאשם הפר את ההסכם, הרי לאור סעיף 12 בהסכם השני, לפיו ""במידה והעד (הנאשם – ע.צ.) יפר את ההסכם או תנאי כלשהו מתנאיו יעמוד לדין בעבירות המיוחסות לו וכל חומר הראיות שהגיע בין קודם להסכם ובין לאחריו ישמש כראיה בבית המשפט"", היא רשאית לעשות שימוש בהודאותיו.",,,,,['לא'],,,,,,,,,,,,,
במשפט הזוטא העידו מטעם המאשימה (לפי סדר הופעתם):,,,,,,,,,,,,,,,,,,
קצין משטרה לשעבר ליעד לינג (עמ' 367-344 (423-400) לפרוטוקול),,,,,,,,,,,,,,,,,,
מטעם ההגנה העידו במשפט הזוטא:,,,,,,,,,,,,,,,,,,
"אמנם ברכה חזר יותר מפעם אחת על האמירה שביום 6.6.02 הנאשם הוא זה שביקש להיות עד-מדינה ואף ניסה לשכנע שזאת הייתה בקשתו של הנאשם בשיחה ביום 29.7.02, בעקבותיה ארע מהפך, מהכחשה נמרצת של הנאשם כל מעורבות שלו ברצח עד להתוודות, אך התרשמתי ממכלול עדותו של ברכה, שאמירות אלה חלולות ואין לעשותן מסד לממצא, שהיוזמה לכריתת ההסכם הראשון או השני באה מצידו של הנאשם.",,,,,['לא'],,,,,,,,,,,,,
"בראיות שפרשה המאשימה, הוכח כי הפרה רצתה להניק, לפחות כמו שהעגל רצה לינוק, כפי שהתחוור מעדות ברכה: ""האמת, אנחנו גיששנו באפילה בכל הארועים האלה.",,,,,,,,,,,,,,,,,,
"שטף אותנו גל של מעשי רצח, נסיונות רצח, לא ידענו מאיפה, גם כשהיינו בעיקובים, האזנות.",,,,,,,,,,,,,,,,,,
"היה שם תחכום עברייני, לא הצלחנו אפילו למקד, למפות את האנשים המעורבים בסכסוכים, ונקרתה לנו הזדמנות פחות או יותר, שיחיא תורכ (הנאשם – ע.צ.), שהוא במעמד יחסית, אנחנו ידענו שמדובר בעבריין רציני שיודע פחות או יותר את התמונה ובפשיעה שמה, לפחות באזור יפו, והוא יכול לביית אותנו ולהוביל אותנו לפיענוחים של כל מעשי הרצח ביפו ונסיונות הרצח ביפו"" (עמ' 276 (337) לפרוטוקול) וכן: ""בין ה-6 לבין ה-18 לחדש (הכוונה ל-6.6.02 ול-18.6.02 – ע.צ.) הוא (הנאשם – ע.צ.) ניהל דין ודברים איתנו בנושא של מעמד עד מדינה.",,,,,,,,,,,,,,,,,,
"הופעל לחץ כבד, גם לפי מה שהוא אמר, מצד המשפחה, האשה שביקשה ממנו לא להיות עד מדינה.",,,,,,,,,,,,,,,,,,
"וכשהצגתי לו את האישור הוא אמר שהוא לא רוצה להיות עד מדינה, שזה פגיעה בכבוד, במשפחה, משפיעים עליו, מפעילים עליו לחץ.",,,,,,,,,,,,,,,,,,
"הבאנו את האישה, הוא רצה לשכנע את האשה שכן תסכים שהוא יהיה עד מדינה"" (עמ' 275-274 (336-335) לפרוטוקול).",,,,,,,,,,,,,,,,,,
"דברים אלה של ברכה תומכים בגרסת הנאשם לאמור: ""כן, כשהייתי פצוע בהתחלה, היה איתי אפריים ברכה, בבאי, שמואל בבאי, גוב, כל הקצינים, יוסי בן נעים, כל הקצינים היו איתי דיברו איתי, אמרו לי תשמע, אנחנו חושבים שהגיע הזמן שאתה תדבר ככה אמרו לי..."" (עמ' 388 (444) לפרוטוקול).",,,,,,,,,,,,,,,,,,
"גם עדות בבאי לפיה ""אם יורשה לי משפט.",,,,,,,,,,,,,,,,,,
"אני אומר, אני פשוט לא זוכר מה הייתה האווירה, אני לא אומר שלא ניסו לעשות ממנו עד מדינה או לא היה למשטרה אינטרס לעשות עד מדינה..."" (עמ' 259 (290) לפרוטוקול), תומכת בה.",,,,,,,,,,,,,,,,,,
"בהתייחס להסכם השני, צודקים ב""כ הנאשם בטענתם כי בהיעדר הקלטה של השיחה בין הנאשם לחוקריו מיום 29.7.02, שהתקיימה בחדרו של ברכה בנוכחות רפ""ק גוב ומפקח בבאי, אין אפשרות לקבוע באופן נחרץ שהיוזמה לכריתת ההסכם השני באה מצידו של הנאשם.",,,,,,,,,,,,,,,,,,
"גם מזיכרון הדברים (ז/17) שכתב ברכה על אותה שיחה  שלא הוקלטה, אשר ככל הנראה לא שיקף במדויק את מהלכה, ניתן להבין, שהיה מדובר בהמשך משא-ומתן שהחל ערב כריתת ההסכם הראשון, כדלקמן: ""יחיא התעניין מה קורה לגביו בתיק של אביב אילוז אמרתי ליחיא כי ישנן ראיות נגדו, והתיק איננו בהסכם, יחיא התעניין האם יהיה ניתן להכניס את התיק של אילוז להסכם הסברתי ליחיא כי דבר כזה צריך את אישור הפרקליטות וזה יהיה קשה וגם נשאלת השאלה האם הוא הניח את המטען, יחיא הכחיש כי הניח את המטען וכי כל מה שעשה שהוא הכין את המטען וביאליק ואבי גילקרוב הניחו את המטען, לדבריו ציון שרר מעורב בסיפור זה.",,,,,,,,,,,,,,,,,,
"הסברתי ליחיא כי עבירה זו איננה כלולה בהסכם וכי יכנס לחדר חקירות וידבר עם בבאי ויספר לו מה מעורבותו בפיצוץ של אביב אילוז כשכל מה שאומר איננו כפוף להסכם, ואני אעביר את הדברים לידיעת הפרקליטות והם אשר יחליטו בנדון.",,,,,,,,,,,,,,,,,,
"מאחר והשיחה לא תועדה בהקלטה, לא ניתן לקבוע ברמת ההוכחה הנדרשת מהמאשימה,  שהיוזמה לכריתת ההסכם השני הייתה כולה של הנאשם.",,,,,,,,,,,,,,,,,,
"כך העיד בבאי: ""היה אירוע מקדים לאירוע זה (ההתוודות – ע.צ.) בו יחיא תורכ נכנס למשרדו של אפרים ברכה.",,,,,,,,,,,,,,,,,,
"אינני זוכר במדוייק את הדברים שאמר אפרים ברכה"" (עמ' 208 (239) לפרוטוקול.",,,,,,,,,,,,,,,,,,
"וכך העיד גוב: ""יחיא עבר את המשרד של אפרים, שמה ישבנו אני בבאי ואפרים, עבר, חזר, נכנס לחדר, אמר שלום ואז התחיל לשאול מה קורה עם התיק.",,,,,,,,,,,,,,,,,,
"לא זוכר את הניואנסים המדויקים מה הוא בדיוק אמר שם, אבל זה פחות או יותר מה שהיה מבחינת הלך הדברים"" (עמ' 323 (383) לפרוטוקול.",,,,,,,,,,,,,,,,,,
"מסקנתי שהמאשימה לא הוכיחה שהנאשם יזם את כריתת ההסכם, מתבקשת אף מכך שהשאלה, מדוע דווקא שיחה קריטית זו לא הוקלטה, נותרה ללא מענה מסבר את האוזן.",,,,,,,,,,,,,,,,,,
"לכן, ניתן לקבוע ברמת סבירות גבוהה שהנאשם היה רשאי להניח ולצפות, שהדפוס הקודם יחזור על עצמו.",,,,,,,,,,,,,,,,,,
"משברכה הודה בחקירתו הנגדית, שהשאלה אם הנאשם היה המבצע העיקרי של הרצח או אם מעורבותו ברצח הייתה משנית, צצה ועלתה מטעם החוקרים השונים ואף מטעמו, עוד בטרם שיחתו עם הנאשם ביום 29.7.02, נמצא שיש בסיס בראיות לסברה שלפני שהנאשם הוציא את היוזמה מכיסו, החוקרים הם שהכניסוה חרש לשם.",,,,,['לא'],,,,,,,,,,,,,
"יותר מזה, ברכה הודה שגם בשיחה ביום 29.7.02 עלה נושא עד המדינה אגב בירור השאלה אם הנאשם היה המבצע העיקרי של הרצח, אם לאו, כעולה מדבריו:",,,,,['לא'],,,,,,,,,,,,,
"טענת המאשימה בסיכומיה במשפט הזוטא, לפיה הנאשם הודה מפני שמצפונו העיק עליו, מפני שאחיו סמי וכמאל וכן טליאס סיבכו אותו ומפני שמעגל הראיות שהוצג בפניו על ידי חוקריו סגר עליו, אינה עומדת במבחן הראיות שהובאו בפנינו.",,,,,['לא'],,,,,,,,,,,,,
"גם אם היו מבין החוקרים שרמזו על האפשרות שהנאשם ""נשבר"" בחקירה המלחיצה שערכו לו, לא התרשמתי שהם עצמם האמינו שזו הסיבה להודאתו.",,,,,['לא'],,,,,,,,,,,,,
"טענה זו מנוגדת לעובדה, שאינה שנויה במחלוקת, כי הנאשם עמד בהכחשת כל מעורבות מצידו ברצח עד לשיחה בחדרו של ברכה, התנהגות המדברת בעד עצמה.",,,,,['לא'],,,,,,,,,,,,,
"טענה זו גם אינה מתיישבת כלל עם עדותו הברורה של ברכה, כי ""בקשר לאשר אילוז זו הייתה הפעם הראשונה, הוא (הנאשם - ע.צ.) די הפתיע אותי, אני אומר, לא ידעתי שהוא הולך בכלל לדבר איתי.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,['לא'],,,,,,,,,,,,,
"אני הייתי בטוח שהוא ימשיך עם הראש, לפי איך שהכרתי אותו, עם הראש הזה עד הסוף, של מה פתאום, לא עשיתי לא עשיתי.",,,,,,,,,,,,,,,,,,
"יתר על כן, הטענה עומדת בסתירה לעובדות שהמאשימה פרשה, לפיהן לא פרץ הנאשם בהתוודות, כפי שהיה מצופה שיעשה אם נשבר מחמת לחץ או מצפון.",,,,,,,,,,,,,,,,,,
"להיפך, על פי ראיות המאשימה הנאשם יצא למסע מחושב כדי להשיג יתרון בדמות הרחבת ההסכם, כעולה מהזכ""ד ז/17 שכתב ברכה בנוגע לאותה שיחה שלא הוקלטה, והפליל את עצמו רק לאחר שברכה נתן לו להבין שעליו לשכנע את הפרקליטות שהוא אינו העבריין העיקרי ושהוא צריך לספק את החומר, שיהווה בסיס לשכנוע.",,,,,,,,,,,,,,,,,,
"ברכה הודה: ""נתתי לו את הביטחון מיד אחרי ה-29, לאחר מכן, שאני הולך לפרקליטות ומביא לה, ואני אמליץ לפרקליטות, בשביל גם שאלתי, אני שאלתי אישית אותו האם הניח או לא הניח, כדי לדעת אם להמליץ או לא להמליץ.",,,,,['לא'],,,,,,,,,,,,,
"וכן: ""אני מדבר איתך על ה-29, הייתה אבחנה כזאת.",,,,,,,,,,,,,,,,,,
ואז אמרנו לו שם תוך כדי: על מה אתה מדבר?,,,,,,,,,,,,,,,,,,
לכן מבחינתנו אתה לא מקבל חסינות.,,,,,,,,,,,,,,,,,,
"ייתכן אמנם שמעגל הראיות שסגר על הנאשם ומצפונו שהעיק עליו הם שדחפו את הנאשם לגשש אחר מצבו בשיחה בחדרו של ברכה (גישוש, שכידוע לנו נסתיים בסופו של תהליך בהסכם השני), אך לא מניעים אלה הם שהביאוהו להתוודות.",,,,,,,,,,,,,,,,,,
"זוהי גם סברתו של ברכה ""הוא יודע מה זה, הוא עבריין, הוא מכיר את זה, הוא יודע מה זה שישה עדים או חמישה עדים שמעידים נגדו.",,,,,,,,,,,,,,,,,,
"לכן הוא פה חשב אולי הוא יוכל לדחוף את זה להסכם ושאל את השאלה הזאת, אם הוא יכול להכניס את זה להסכם"" (עמ' 295 (355) לפרוטוקול).",,,,,,,,,,,,,,,,,,
"הנאשם התוודה משום שהיה לו יסוד מוצק להניח, שאם יספק לברכה את מה שברכה רצה לקחת לפרקליטות, הוא יזכה בסופו של דבר להרחבת ההסכם הראשון כך שיחול גם על הפרשה הנדונה.",,,,,['לא'],,,,,,,,,,,,,
"ברכה לא הכחיש וחזר והעיד ""אמרתי לך שאני אחרי ה-29 וה-30 אני הרי כבר המלצתי שיקבל מעמד עד מדינה.",,,,,['לא'],,,,,,,,,,,,,
אני הלכתי לפרקליטות התחננתי לפרקליטות שיתנו לו מעמד עד מדינה.,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : כן', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,
היה מאוד חשוב לנו שאנשים שמעורבים בפרשה יישבו שנים ארוכות בכלא...,,,,,,,,,,,,,,,,,,
אני ביום29 לא הבטחתי לו שאני בא ואתן לו מעמד עד מדינה.,,,,,,,,,,,,,,,,,,
"אכן אמרתי לו שאני אקח את הזכ""ד ואת האימרות שלו לפרקליטות וכך זה יהיה וככה הלכתי, לא מעבר לזה..."" (עמ' 305, 306 (365, 366) לפרוטוקול).",,,,,,,,,,,,,,,,,,
"שאני ממליץ עליו."" (עמ' 308 (368) לפרוטוקול).",,,,,,,,,,,,,,,,,,
"אני מאמינה לנאשם שהעיד: ""אני אומר לך.",,,,,,,,,,,,,,,,,,
"אני אומר לך, כל דבר שאני דיברתי, אם הייתי לא בטוח בעצמי שהם לא יביאו לי חסינות, אתה מבין אותי, לא הייתי מדבר בכלל ואף אחד מהם לא יכול ללחוץ אותי, אתה מבין אותי, ואף אחד לא יכול לחקור אותי, תבין, אני אסביר לך, אם אני לא רוצה לדבר אף אחד לא יכול לחקור אותי ואני מכיר את עצמי"" (עמ' 404 (460) לפרוטוקול).",,,,,,,,,,,,,,,,,,
"גרסה זו מקבלת אישור מברכה שהעיד, כי הנאשם עמד בהטחת הראיות נגדו ""ולא אמר מילה, הוא הכחיש."" (עמ' 321 (381) לפרוטוקול) וכי הנאשם לא אמר שום דבר שהפליל אותו גם בשיחה ביום 29.7.02, לפני שהוסברה לו החשיבות הרבה של העברת החומר לפרקליטות, באופן שישכנע אותה שהוא איננו העבריין העיקרי אלא המשני, כדלקמן:",,,,,['לא'],,,,,,,,,,,,,
"אני לא נתתי לו להבין בצורה כזו, אבל הבהרתי לו, שאלתי אותו תוך כדי האם הוא הניח את המטען או לא הניח את המטען, כי זה דבר מאוד חשוב.",,,,,,,,,,,,,,,,,,
"הוא אמר שם שהוא לא הניח את המטען, שכל מה שהוא עשה זה להכין אותו והעביר את זה לביאליק וגילקרוב.",,,,,,,,,,,,,,[],,,,
ואז אמרתי לו: אני את זה אעביר לפרקליטות.,,,,,,,,,,,,,,,,,,
"כב' השופט טל:   אבל לפי הניסיון שהיה לו עם הפרקליטות בעבר, הוא יכול היה לצפות שהפרקליטות תכלול גם את זה בהסכם עד המדינה.",,,,,,,,,,,,,,,,,,
"אדוני חשב, כן, אם הוא לא הניח.",,,,,,,,,,,,,,,,,,
"הוכח, שהנאשם ניהל עם החוקרים משא ומתן להרחבת ההסכם על פרשת הרצח כתוצאה מידיעתו את הראיות שהצטברו נגדו אך לא הוכח כלל שהודאותיו נמסרו משום שנשבר בחקירה.",,,,,['לא'],,,,,,,,,,,,,
"לאמיתו של דבר על-פי הראיות שבאו לפנינו נראה שהתוודותו הראשונית של הנאשם על מעורבותו ברצח באה למעשה כתוצאה מהנחייתו של ברכה כיצד על הנאשם לנהוג על מנת להשיג את הסכמת הפרקליטות להרחבת ההסכם, דרך שאם ינהג בה תלווה גם בהמלצתו.",,,,,,,,,,,,,,,,,,
"לכן, סברתו של ברכה כי: ""בדרך כלל גם הפרקליטות מביאה לך איזה מסמך שאתה יכול לגבות את זה ואת זה בפעם הקודמת הוא (הנאשם - ע.צ.) כן ביקש, שיהיה מסמך, פתק מהפרקליטות."" (עמ' 282 (342) לפרוטוקול) אינה משכנעת.",,,,,,,,,,,,,,,,,,
"אדרבא, העובדה שהנאשם לא ביקש בפעם השנייה ""פתק"" או מסמך מגבה מהפרקליטות, מלמדת על מידת האמון שנתן הנאשם במשטרה ובפרקליטות לאור ניסיונו עד לאותו מועד, על אחת כמה וכמה שברכה הודה שהוא אמר לנאשם בפירוש שלמהלך יש סיכוי טוב.",,,,,['לא'],,,,,,,,,,,,,
"לטענת המאשימה בסיכומיה במשפט הזוטא (עמ' 7-6), כי לנאשם לא הובטח דבר והנאשם היה נתון ""באשליה תלושת מציאות"", ב""שכנוע פנימי הזוי"" שנוצר במוחו ללא כל בסיס עובדתי ""כמעט באורח פתלוגי"" (כך במקור - ע.צ.), אין תשתית בראיות.",,,,,,,,,,,,,,,,,,
"בפרשנותה, כי מדובר בשכנוע עצמי של הנאשם, שלא נמצא לה בסיס בהתנהגות החוקרים, נתלית המאשימה בהתבטאויות של הנאשם בעדותו כדלקמן:",,,,,,,,,,,,,,,,,,
"לטענת המאשימה, לפיה מעולם לא ניתנה לנאשם הבטחה כלשהי, אין תשתית, שכן בראיות שהביאה המאשימה מטעמה יש בסיס איתן למסקנה, שהנאשם מסר את הודאותיו לאחר שפותה להאמין שהן תבאנה לו בכנפיהן מעמד של עד מדינה.",,,,,['לא'],,,,,,,,,,,,,
ברכה הודה שביום 6.8.02 כבר קיבל לגיטימציה לנהל משא-ומתן עם הנאשם.,,,,,['לא'],,,,,,,,,,,,,
"מכיוון שהוכח לנו שהשיחה בחדרו של ברכה לא הוקלטה ומאחר והוכח לנו מדברי ברכה, שהסביר לנאשם שאם לא יבצע את חלקו (היינו, ימסור וישכנע שהוא לא המבצע העיקרי של הרצח), לא יוכל ברכה להביא בפני הפרקליטות את המלצתו, מכיוון שהוכח לנו שברכה רצה בכל מאודו לשכנע את הפרקליטות שתעניק לנאשם את המעמד המיוחל ומכיוון שהוכח לנו שברכה נתן לנאשם להבין שהוא יפעל למענו ויש למהלך סיכוי טוב, ברי שהאזהרות נועדו לשמש את החוקרים ככיסוי להשגות שאולי תשמענה בעתיד ולא כמסר לנאשם שיזהר וישקול את מהלכיו.",,,,,,,,,,,,,,,,,,
"טענת המאשימה בסיכומיה במשפט הזוטא כי ""הנאשם לא ביקש להגיש ולא הגיש את תשובת המדינה לבית המשפט הגבוה לצדק, התשובה אינה בפני בית המשפט הנכבד כחלק ממוצגי ההגנה ובית המשפט הנכבד לא יכול לקבוע, בכל הכבוד כל ממצא נוכח אותה תשובה"" (שם, בעמ' 113), אינה מדויקת ואינה ראויה.",,,,,,,,,,,,,,,,,,
"הטענה אינה ראויה, משום שבא-כוחה הנכבד של המאשימה היה ער לכך שנ/7 היא ראיה מהותית וציר מרכזי במשפט הזוטא והתנהגותו בעת הדיון, כמשתקף מהפרוטוקול (לדוגמא: בעמ' 20 (50) ועמ' 519-516 (575-572) לפרוטוקול), מלמדת על הסכמתו המלאה להגשתה כראיה במשפט.",,,,,,,,,,,,,,,,,,
"התבטאות באי-כח המאשימה הנכבדים, בהתייחס לנ/7 כי ""מדובר בעדות מפי השמועה, הניסוח שבתשובה אינו עולה בקנה אחד עם חומר הראיות ואינו יכול להוות תחליף אמיתי לבדיקת חומר הראיות כפי שעשתה המאשימה במהלך משפט הזוטא"" וכי ""לא יעלה על הדעת לבנות ממצאים על תגובה אלמונית בלא לבדוק על סמך אילו ראיות היא ניתנה והאם היא צודקת"" (בעמ' 113 לסיכומיהם במשפט הזוטא.",,,,,,,,,,,,,,,,,,
"לא ייתכן שהמדינה, בתגובתה לעתירה בבג""צ, כפי שבאה לבטוי מפורש במסמך נ/7, נהגה בניגוד לאמות-מידה החלות עליה, כפי שהותוו לא אחת בפסיקה (בין השאר בדנ""פ 1187/03 מ""י נ' אופיר פרץ ואח', דינים עליון כרך עא 964), לא נזהרה באמירותיה, לא בדקה ולא חקרה היטב אחר העובדות ולא הציגה בפני בית-המשפט העליון, בשיבתו בבג""צ, תמונה מלאה ואמיתית כמוטל עליה.",,,,,,,,,,,,,,,,,,
"הוכח שהמאשימה ידעה באותה עת את העובדות לאשורן, בהיותה בקשר רציף עם החוקרים ובלוותה את הפרשה כולה (ראו למשל: עדותו של בבאי בעמ' 262 (293) ועדותו של לינג בעמ' 365-364 (421-420) לפרוטוקול).",,,,,,,,,,,,,,,,,,
"גם הטענה ש""אין התגובה עצמה רושמת כי ניתנה לנאשם הבטחה מצד השוטרים (קיומו של המבחן האובייקטיבי).",,,,,,,,,,,,,,,,,,
"עם זאת, ניתן לקבל טיעון כי המשיב 4 מסר את הודאתו בעניין פרשת אילוז, כשהוא תחת הרושם כי נושא זה, יהיה, גם הוא, חלק מן ההסכם.",,,,,['לא'],,,,,,,,,,,,,
"1167/02 אשר הוגש נגדו בעניין זה, הייתה מפילה את התיק לחלוטין, ואינטרס הציבור היה נפגע שבעתיים"", יבחין בעליל שגרסת המאשימה היא שיש רגליים לכל טענה בדבר פיתוי והשאה, שיעלה הנאשם בעתיד בקשר להודאות שנתן מיום 6.6.02 ועד ליום 15.5.03.",,,,,['לא'],,,,,,,,,,,,,
"עמדת המדינה בנ/7 מהווה סיוע ממשי למהימנות גרסת הנאשם, כי כל ההודאות שמסר עד ליום ביטול ההסכם עמו הוצאו ממנו בדרך פסולה, והיא עולה בקנה אחד עם התרשמותי מכלל עדותו של ברכה ומסקנתי שאין לעשות את אזהרות הנאשם, בהן נתלים באי-כח המאשימה בסיכומיהם, יתד לגרסתה של המאשימה.",,,,,['לא'],,,,,,,,,,,,,
