text,CIR_PUNISHMENT,GENERAL_CIRCUM,reject,CIR_TYPE,CIR_AMOUNT,CIR_ROLE,CIR_EQ,REGRET,RESPO,CONFESSION,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE,CIRCUM_OFFENSE
"הנאשם מוסר דגימות שתן באופן סדיר, ואלו נמצאו נקיות משרידי סם.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"שירות המבחן המליץ להעמיד את הנאשם במבחן למשך שנה, נוכח התמדתו בטיפול כשגורמי התמיכה ימשיכו ללוות אותו בהליך השיקום.",,,,,,,,,,,,,,
"מסתבר גם, כי גילו המבוגר של הנאשם ועייפותו מאורח החיים השולי מהווים אף הם אלמנטים מציבי גבול שביכולתם להפחית את  הסיכון להמשך התנהגותו העבריינית.",,"['1 : כן', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,
"מטעמו של הנאשם העיד בנו מר עזרא שעשוע אשר שיתף את ביהמ""ש בהליך השיקומי שעובר הנאשם תוך בקשה לאפשר לו להשלימו.",,,,,,,,,,,,,,
"במסגרת הראיות לעונש הוגשה גם הודאת הנאשם (נ/1), ממנה ניתן ללמוד כי הנאשם הודה בהזדמנות הראשונה, וכי התמכרותו לסמים הייתה הרקע לביצוע העבירות.",,"['1 : לא', '2 : לא', '3 : לא', '4 : כן', '5 : לא', '6 : כן', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,['כן'],,,,
"עוד הוגשו תעודה  המעידה כי הנאשם השלים טיפול בקבוצת המתחילים ביחידה לטיפול בהתמכרויות (נ/2), הוגשו מכתבי המלצה (נ/4 א-ד) ממעסיקיו, מחבריו לקבוצה הטיפולית, וכן  מעובדות אגף הרווחה בעיריית חולון.",,"['1 : לא', '2 : לא', '3 : לא', '4 : כן', '5 : כן', '6 : לא', '7 : כן', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"עוד ציינה ב""כ המאשימה כי הנאשם מגלה התמדה בהליך השיקומי בו החל, וכי הוא נקי משימוש בסם   מזה כשנה.",,"['1 : לא', '2 : לא', '3 : לא', '4 : כן', '5 : כן', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"ב""כ הנאשם עתר אף הוא לביהמ""ש לכבד את הסדר הטיעון, בציינו כי מרשו החל בהליך גמילה רציני וממשי עובר לביצוע העבירות נשוא כתב האישום, והמעידה שגרמה לו לבצע העבירות נשוא התיק דנן  קשורה למשבר משפחתי שהוא חווה אותה עת.",,"['1 : לא', '2 : כן', '3 : לא', '4 : כן', '5 : כן', '6 : לא', '7 : כן', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"ב""כ הנאשם הוסיף וציין את הודאתו המהירה של הנאשם, נטילת האחריות על ידו, ושיתוף הפעולה המלא שלו  עם המשטרה.",,,,,,,,['לא'],['כן'],['כן'],,,,
"ב""כ הנאשם תיאר את נסיבות חייו של הנאשם כפי שפורטו בהרחבה בתסקיר, ציין את  גילו המבוגר ופרטי ההליך השיקומי בו הו הוא מצוי,  כמו- כן ציין את בריאותו הרופפת, ואת העובדה שאין לו   הרשעות קודמות למעט הרשעה אחת שהתיישנה.",,"['1 : כן', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,
הנאשם מוכיח שילוב בתכנית רצינית של מוסד ידוע ומקובל.,,,,,,,,,,,,,,
אין בעברו של הנאשם ניסיונות גמילה רציניים קודמים ולא ניתנה לו הקלה בעונש קודם על בסיס נכונות לקיים הליך שיקומי טיפולי.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"הנאשם שיתף את בית המשפט בהליך השיקומי שהוא עובר, הוא ביקש להשלימו,  וציין, כי למרות כל הקשיים שנקרים בדרכו הוא נחוש שלא לסור מדרך הישר.",,"['1 : לא', '2 : לא', '3 : לא', '4 : כן', '5 : כן', '6 : לא', '7 : כן', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"משמע, במקרים בהם סבר בית המשפט כי בפניו נאשם בעל מוטיבציה גבוהה להירתם להליך שיקומי, ואין מדובר במי שמאחרי דבריו אין מאומה -   רשאי הוא להורות על העמדתו במבחן, הגם שמדובר במי שביצע עבירות שבצידן ענישה כבדה.",,,,,,,,,,,,,,
"במקרה דנן, התרשמתי כי הנאשם עבר במהלך השנה האחרונה הליך שיקומי משמעותי ואמרותיו בדבר המוטיבציה שלו להשתקם אינן בגדר הצהרות בעלמא.",,"['1 : לא', '2 : לא', '3 : לא', '4 : כן', '5 : כן', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,
"הנאשם נקלט תחילה בקהילה טיפולית, ולאחר שעזב אותה מרצונו המשיך ביוזמתו ובתמיכת קרוביו בהליך השיקום במסגרת היחידה העירונית לנפגעי סמים.",,"['1 : לא', '2 : לא', '3 : לא', '4 : כן', '5 : כן', '6 : לא', '7 : כן', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"כיום, משתתף הנאשם בקבוצה לתמיכה עצמית N.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"A)), ובמקביל החל בטיפול פרטני .",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"שיקום יחסיו עם בני משפחתו והתמיכה לה הוא זוכה מהם  ומבת זוגו מהווים אף הם רכיבים מייצבים נוספים כבדי משקל , עבור הנאשם.",,"['1 : לא', '2 : כן', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
אני מעמידה את הנאשם בפיקוח שירות המבחן למשך שנתיים ימים החל מהיום.,,,,,,,,,,,[],[],[],
"24 חודשי מאסר על תנאי, והתנאי הוא שלא יעבור עבירה מהעבירות בהן הורשע תוך 3 שנים מהיום.",,,,,,,,,,,[],['24 חודשי מאסר על תנאי'],[],
"פיצוי בסך 930 ₪ לזכות חנות ""על הדרך"" בתחנת סונול בית עובד.",,,,,,,,,,,[],[],[],
"פיצוי בסך 1160 ₪ לזכות חנות הנוחות בתחנת הדלק ""TEN"" ברחוב הפלד 9 בחולון.",,,,,,,,,,,,,,
"פיצוי בסך 3,000 ₪ שיחולק באופן שווה בין שלושת המתלוננים על פי פרטים שימסרו למזכירות בית המשפט ע""י המאשימה.",,,,,,,,,,,[],[],[],
"פיצוי זה יקוזז מסכום הפיקדון בסך 3,000 ₪ שהופקד במסגרת הליך המעצר",,,,,,,,,,,[],[],[],
הודע לנאשם על  זכותו לערער לבית המשפט העליון תוך 45 יום.,,,,,,,,,,,,,,
