text,reject,PUNISHMENT,GENERAL_CIRCUM,CONFESSION,CIR_TYPE_WEP,CIR_PURPOSE,CIR_PLANNING,CIR_MONEY_PAID_WEP,CIR_HELD_WAY_WEP,REGRET,RESPO,CIR_USE,CIR_STATUS_WEP,CIR_OBTAIN_WAY_WEP,CIR_BUYER_ID_WEP,CIR_AMMU_AMOUNT_WEP,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE,CIRCUM_OFFENSE,CONFESSION_LVL2
לחומרה נתתי משקל להתרשמות שירות המבחן כי הנאשם התקשה לבחון חלקים מכשילים בתפקודו.,,,,,,,,,,,,,,,,,,,,,
בגדר השיקולים לחומרה לקחתי בחשבון את התרשמות שירות המבחן כי הנאשם מתקשה להפעיל שיקול דעת ופועל באימפולסיביות במצבי דחק.,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
"לקחתי בחשבון את התרשמות שירות המבחן מאי-בהירות ביחס להתנהלותו של הנאשם בקשר  עם אחרים בסביבתו החברתית, ואת קשייו לבחון לעומק הנסיבות שהביאוהו להחזיק בנשק.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
לקולת הנאשם לקחתי בחשבון בראש ובראשונה את העובדה שלא עלה שימוש קונקרטי עתידי בנשק.,,,,,,,,,,,,,,,,,,,,,
לקחתי בחשבון לקולת הנאשם את העובדה שהנשק הוחזק בבית באופן המפורט בכתב האישום.,,,,,,,,,,,,,,,,,,,,,
לקולת הנאשם לקחתי בחשבון את גילו הצעיר ואת העדר העבר הפלילי.,,,"['1 : כן', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
"מעבר לגילו הצעיר ולעובדה שהנאשם נמנה על קבוצת הבגירים-צעירים, כמו גם העדר העבר הפלילי, נתתי משקל לקולא בעניינו של הנאשם לשיתוף הפעולה עם שירות המבחן.",,,"['1 : כן', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : כן', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
בגדר השיקולים לקולא לקחתי בחשבון את הודאתו המגלמת נטילת אחריות.,,,,['לא'],,,,,,,,,,,,,,,,,
לקחתי בחשבון את הבעת החרטה שהביע.,,,,['לא'],,,,,,,,,,,,,,,,,
לקחתי בחשבון את החיסכון בזמן שיפוטי.,,,,,,,,,,,,,,,,,,,,,
"9 חודשי מאסר בפועל, בניכוי ימי מעצרו מיום 31.1.16 עד יום 5.4.16.",,,,,,,,,,,,,,,,,"['הנאשם קיבל 9 חודשי מאסר בפועל, בניכוי ימי מעצרו מיום 31116 עד יום 5416']",[],[],,
"שמונה חודשי מאסר, וזאת על תנאי, שלא יעבור משך שלוש שנים מיום שחרורו ממאסרו כל עבירה על סעיף 144 לחוק העונשין.",,,,,,,,,,,,,,,,,[],['הנאשם קיבל 8 חודשי מאסר על תנאי'],[],,
"תחתם ערבות צד ג' נוספת בסך 15,000 ₪ להבטחת ההתייצבות לריצוי המאסר.",,,,,,,,,,,,,,,,,,,,,
