text,Unnamed: 0,PUNISHMENT,GENERAL_CIRCUM,reject,REGRET,CIR_TYPE,CIR_AMOUNT,CIR_ROLE,CIR_PLANNING,CIR_HELD_WAY,CIR_VALUE,RESPO,CONFESSION,CIR_PURPOSE,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE
"מרישום זה למדתי כי לחובתו 7 הרשעות קודמות, החל משנת 2015 ועד שנת 2019.",31,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,
"באותם מקרים הורשע הנאשם בעבירות רכוש שונות (בית משפט לנוער חיפה 608/2005, בית משפט שלום עכו 59566-06-2013, בית משפט שלום קריות 5078-08-2019), עבירות אלימות (בית משפט שלום קריות 630/06, בית משפט שלום קריות 19178-06-2009), החזקת סמים לצריכה עצמית, עבירות נשק ורכוש (בית משפט מחוזי חיפה 56320-02-2013).",32,,,,,,,,,,,,,,,,
"באשר לנסיבות ביצוע העבירה, פירטה באת כוח המאשימה כי מעשי הנאשם מחייבים תכנון מוקדם.",37,,,,,,,,,,,,,,,,
"בראש ובראשונה, הדגישה התובעת כי ליתר הנאשמים יוחסו שלושה אישומים בנוגע לשלוש מעבדות, אשר בהן גודלו 90 ק""ג של סם.",43,,,,,,"['90 ק""ג (קילוגרמים)']",,,,,,,,,,
"בענייננו, הורשע הנאשם בנוגע לשמונה מעבדות, בהן גודל סם במשקל העולה על 170 ק""ג.",44,,,,,,"['הכמות של הסמים היא 170 ק""ג']",,,,,,,,,,
"לטעמה, מסקנה זו מתבקשת במיוחד לאור עברו הפלילי של הנאשם והעובדה כי לא עומדות לזכותו נסיבות אישיות מיוחדות ואף לא נטען לשיקולי שיקום.",46,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : כן']",,,,,,,,,,,,,,
"הסנגור טען כי הנאשם בן 36, רווק, בן למשפחה נורמטיבית להורים גרושים.",51,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,
"הוא גדל במשפחה עם בעיות סוציואקונומיות קשות ביותר, אשר השפיעו על תהליך התבגרותו.",52,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,
"עם זאת, הוא סיים 12 שנות לימוד עם תעודת בגרות, כך שחרף הקשיים פילס דרכו, במסגרות מסודרות.",53,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,
"הסנגור הוסיף כי אומנם לנאשם הרשעות קודמות, אך האחרונה שבהן בשנת 2019 ואף לא אחת מהן מלמדת על קשר לייצור או סחר בסמים.",54,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : כן', '11 : כן']",,,,,,,,,,,,,,
"בנוסף, טען הסנגור כי יש לקחת בחשבון את מעצרו של הנאשם עד כה, כאשר מזה 15 חודשים הוא מצוי בתנאי מעצר קשים.",55,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,,,
עוד התייחס הסנגור לעובדה כי הנאשם נטל אחריות על מעשיו וחסך בזמן שיפוטי יקר.,61,,,,,,,,,,,,,,,,
"על מנת לאפשר את ייצור הסם והפקתו, פעל הנאשם בדרכי מרמה, תוך זיוף מסמכים, לשכור דירות שונות.",76,,,,,,,"['לא בעל המעבדה, בעל הסמים']",,,,,,,,,
"הנאשם נטל חלק בשורה של אירועים מתוכננים היטב, במסגרתה, החבורה, לה היה שותף, קשרה קשר להקים מעבדות לגידול סם מסוג קנבוס בדירות שכורות.",82,,,,,"['הסוג של הסמים הוא קנבוס, או מריחואנה']",,,,,,,,,,,
"עם זאת, יש להביא בחשבון את העובדה כי גודל סם מסוג קנבוס, אשר פגיעתו בבריאות מצומצמת יותר.",85,,,,,,,,,,,,,,,,
"עסקינן על כן, במעשים שיטתיים, שבוצעו על פני פרק זמן ממושך למדי.",90,,,,,,,,,,,,,,,,
"העובדה כי הנאשם היה שותף לגידולם של שתילי קנבוס בעשרות קילוגרמים, מהם היה ניתן להפיק כמות סם רבה, ובכך להרחיב את הפצת הסמים בחברה, מהווה נסיבה מחמירה.",91,,,,,['הסוג של הסמים הוא קנאביס'],,,,,,,,,,,
"בעניין דרחי הנ""ל הוטלו 30 חודשי מאסר על נאשם ללא עבר פלילי משמעותי, אשר הקים מעבדה לגידול סם מסוג קנבוס במספר חדרים בדירה אשר בחזקתו.",101,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,"['הסוג של הסמים הוא קנבוס, או קנאביס']",,,,,,,,,['הנאשם קיבל 30 חודשי מאסר'],['לא'],['לא']
"כאשר המשטרה פשטה על מעבדה זו נתפסו כ-77 ק""ג של סם.",102,,,,,,"['77 ק""ג (קילוגרמים) של סמים']",,,,,,,,,,
"הנאשם אברהם חודדטוב (להלן אברהם), אשר לחובתו שבע הרשעות קודמות בנושא סמים, רכוש ואלימות, הורשע על פי הודאתו בכתב אישום מתוקן שכלל עבירות של ייצור סם באמצעות גידולו, החזקת סם שלא לצריכה עצמית, החזקת כלים ונטילת חשמל, בנוגע להפעלת שלוש מעבדות, בהן נתפסו סמים במשקל של כ- 36 ק""ג.",108,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,
חלקו המעשי של אברהם היה בגידול הסם.,109,,,,,,,,,,,,,,,,
"בהתאם לעתירה זו הוטלו עליו 16 חודשי מאסר לריצוי בפועל, מאסר מותנה וקנס בסך 15,000 ש""ח.",111,,,,,,,,,,,,,,['הנאשם קיבל 16 חודשי מאסר לריצוי בפועל'],['הנאשם קיבל 16 חודשי מאסר לריצוי בפועל אין מידע על מאסר על תנאי בטקסט'],"['15,000 ש""ח']"
"גזר דינם האמור נומק בתיקון המשמעותי של כתב האישום, בחיסכון בזמן שיפוטי ניכר נוכח ההודאה ובעברם הפלילי שאינו מכביד.",117,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,,,
"כך, הודה הנאשם בגידול של כ-170 ק""ג קנבוס, בעוד שותפיו הורשעו בגידול 36-90 ק""ג בלבד.",126,,,,,"['הסוג של הסמים הוא קנבוס, או מריחואנה']","['הכמות של הסמים היא 170 ק""ג']",,,,,,,,,,
בא כוח הנאשם ציין בטיעוניו כי הנאשם בן למשפחה נורמטיבית אשר גדל תחת בעיות סוציואקונומיות קשות.,132,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,
"חרף הקשיים, הנאשם השלים 12 שנות לימוד עם תעודת בגרות.",133,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,
"כיום הנאשם כבן 37, רווק, והוא הספיק לצבור לחובתו שבע הרשעות קודמות, חלקן בגין עבירות חמורות, גם אם לא בנוגע לייצור סם והפצתו.",134,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : כן', '11 : כן']",,,,,,,,,,,,,,
"זאת כאשר גם לשותפו אברהם, היו שבע הרשעות קודמות.",136,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,
"ראשית, יש בהודאה זו משום קבלת אחריות על ידי הנאשם.",138,,,,,,,,,,,,,,,,
"שנית, הודאת הנאשם חסכה זמן שיפוטי רב.",140,,,,,,,,,,,,,,,,
"הנאשם עירב עצמו בשורה ארוכה של עבירות לא פשוטות, כאשר, יחד עם אחרים, שכר שמונה דירות במרמה ותוך התחזות לאחר, והיה שותף לציוד דירות אלה בציוד הנדרש לגידול, הכנה, ייצור והפקה של סם מסוג קנבוס, ולגידול סם כאמור בהיקף גדול.",146,,,,,['הסוג של הסמים הוא קנבוס'],,,,,,,,,,,
לחובתו שבע הרשעות קודמות.,148,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,
לזכותו הודאתו באשמה.,149,,,,,,,,,,,,,,,,
35 חודשי מאסר לריצוי בפועל מיום מעצרו בתיק זה.,154,,,,,,,,,,,,,,['הנאשם קיבל 35 חודשי מאסר בפועל'],['לא'],['לא']
"18 חודשי מאסר אותם לא ירצה אלא אם בתוך 3 שנים מיום שחרורו ישוב ויעבור אחת העבירות בהן הורשע, מלבד עבירת החזקת כלים.",155,,,,,,,,,,,,,,['לא'],['18 חודשי מאסר על תנאי'],['לא']
"קנס בסך 30,000  ₪ שישולם עד לשחרור וכתנאי לשחרור.",156,,,,,,,,,,,,,,['לא'],['לא'],"['30,000 ₪']"
לא ישלם הנאשם קנס זה ייאסר לתקופה נוספת של 6 חודשי מאסר.,157,,,,,,,,,,,,,,['6 חודשי מאסר'],['לא'],['לא']
