text,CIR_PUNISHMENT,CONFESSION,CIR_TYPE,REGRET,CIR_ROLE,GENERAL_CIRCUM,CIR_AMOUNT,RESPO,CIR_EQ
"הנאשם הודה, כי בתקופה שקדמה לביצוע העבירות צבר חובות שאותם שילם באמצעות הלוואות שנטל מהשוק האפור.",0,0,0,0,0,1,0,0,0
"ב""כ הנאשם ציין: המדובר בנאשם צעיר שלקח אחריות, הודה וחסך זמן שיפוטי ניכר; אין לנאשם עבר פלילי מכביד; הפסיקה ערכה הבחנה בין דגי הרקק לבין הכרישים בסוג זה של עבירות.",0,1,0,0,0,1,0,1,0
"הנאשם פעל ממצוקה כלכלית קשה, כאשר כאח הבכור נדרש לפרנס את הוריו החולים ואחיו.",0,0,0,0,0,1,0,0,0
"במסגרת החובות שנקלע אליהם, נטל הנאשם הלוואות בשוק האפור אותן התקשה לפרוע.",0,0,0,0,0,1,0,0,0
"הוא מעולם לא נסע לחו""ל בטיסה; מהתסקיר עולה שלמרות הרקע הקשה של הנאשם, הוא הצליח רוב שנותיו, להימנע מהסתבכויות עם החוק; התסקיר מציין שיש צורך בהתערבות שיקומית; לנאשם לא היה רווח כלכלי משמעותי, שכן אמור היה לקבל, תמורה בגובה הכנסתו החודשית.",0,0,0,0,0,1,0,0,0
"ציין כי היה במצב כה קשה, שאם היו אומרים לו להתאבד, היה  עושה כן.",0,0,0,0,0,1,0,0,0
"המצב הכלכלי היה קשה, הוא נקלע לחובות ומצב זה גרם לו לבצע את העבירה.",0,0,0,0,0,1,0,0,0
הנאשם ציין כי זהו מאסרו הראשון  ומבקש התחשבות במצבו.,0,0,0,0,0,1,0,0,0
"הנאשם הובא לדין בשתי הזדמנויות קודמות, והורשע בין היתר בביצוע עבירות שעניינן החזקת סמים לצריכה עצמית.",0,0,0,0,0,1,0,0,0
מדובר במי שנדרש לעשות כן בלחץ מסוים של המלווים בשוק האפור אשר הציעו זאת כפיתרון ומוצא משלא עלה בידי הנאשם לפרוע את חובותיו.,0,0,0,0,0,1,0,0,0
נסיבותיו האישיות של הנאשם אינן קלות.,0,0,0,0,0,1,0,0,0
"הוא צעיר כבן 27, רווק  אשר גדל ברקע משפחתי קשה, כאשר הוא המפרנס היחיד.",0,0,0,0,0,1,0,0,0
אביו נכה ואמו ואחיו הקטן חולים.,0,0,0,0,0,1,0,0,0
"לנאשם אמנם הרשעות קודמות, אך מדובר בעבירות שביצע בשנת 2005.",0,0,0,0,0,1,0,0,0
הנאשם מעולם לא ריצה מאסר בפועל.,0,0,0,0,0,1,0,0,0
"עם זאת, יש בשיקולים לקולא, ובעיקר ההודיה, חלקו של הנאשם בשרשרת, נסיבות גיוסו 	והעובדה כי זהו מאסרו הראשון, כדי למתן את הענישה.",0,1,0,0,0,1,0,0,0
"ביום 3.11.10 נחת הנאשם בנמל התעופה בן גוריון כשהוא נושא בתרמילו, בדופן כפולה, חבילה ובה קוקאין במשקל של  ברוטו.",0,0,1,0,0,0,1,0,0
"ב""כ הנאשם ציין: המדובר בנאשם צעיר שלקח אחריות, הודה וחסך זמן שיפוטי ניכר; אין לנאשם עבר פלילי מכביד; הפסיקה ערכה הבחנה בין דגי הרקק לבין הכרישים בסוג זה של עבירות.",0,1,0,0,0,1,0,1,0
"סטיב חדיד (עציר)
ע""י ב""כ עו""ד שאדי כבהה",0,0,0,0,0,0,0,0,0
"פקודת הסמים המסוכנים [נוסח חדש], תשל""ג-1973: סע'  7(ג), 13",0,0,0,0,0,0,0,0,0
"* הפסיקה עמדה על הצורך בענישה מחמירה, גם כאשר מדובר בסמים מוכרים פחות.",0,0,0,0,0,0,0,0,0
מאז הצטברו מספר החלטות מהן ניתן ללמוד על אופיו של הסם ועל מיקומו במדרג החומרה בהשוואה לסמים אחרים.,0,0,0,0,0,0,0,0,0
* עונשין – ענישה – מדיניות ענישה: עבירות סמים,0,0,0,0,0,0,0,0,0
"ביהמ""ש המחוזי קבע בגזר דינו:",0,0,0,0,0,0,0,0,0
"עבירות הסמים, ובפרט אלו העוסקות בהרחבת היקף שוק הסמים כגון עבירות הפקת הסם ועבירות הייבוא, ובהפצת הסם בדרך של סחר והחזקה שלא לשימוש עצמי בלבד, פוגעות פגיעה ממשית בערכים חברתיים בעלי משקל ובהם הצורך בהגנה על שלום הציבור, על בריאותו, על ביטחונו האישי ועל רכושו.",0,0,0,0,0,0,0,0,0
"בעניין יהודה עמד ביהמ""ש העליון על הצורך בענישה מחמירה, גם כאשר מדובר בסמים מוכרים פחות, תוך התאמת רף הענישה לטיב הסם, השפעותיו והסיכונים הכרוכים בו.",0,0,0,0,0,0,0,0,0
"כפי שנפסק שם, כניסתו של סם חדש לזירה דורשת תגובה של ענישה הולמת.",0,0,0,0,0,0,0,0,0
כל סם וקהל היעד שלו.,0,0,0,0,0,0,0,0,0
"כל סם ומרכיבי המשיכה שלו – מחיר, נגישות, תגובה פיסית.",0,0,0,0,0,0,0,0,0
"נדמה, כי ריבוי סוגי הסמים מביא לעלייה בשימוש בסמים בכללותו.",0,0,0,0,0,0,0,0,0
"הפסיקה מכירה בסמים חמורים יותר ופחות, אך יש לדעת את מאפייניו של כל סוג.",0,0,0,0,0,0,0,0,0
"במקרה דנן לא הוגשה חוו""ד בנוגע לטיב ומאפייני הסם המסוכן שייבא הנאשם, נוכח התנגדות הסנגור לבקשת התובע להגיש חוו""ד בנושאים אלה במסגרת הטיעונים לעונש.",0,0,0,0,0,0,0,0,0
"לפיכך, אין בידי ביהמ""ש מידע מפורט בנוגע לכלל המאפיינים הנוגעים לסם ולהשפעותיו.",0,0,0,0,0,0,0,0,0
"עם זאת, בחלוף השנים מאז הוכלל החומר מסוג אינדזול קרבוקסאמיד, על נגזרותיו המבניות, בפקודת הסמים המסוכנים, הצטברו מספר החלטות מהן ניתן ללמוד על אופיו של הסם, ועל מיקומו במדרג החומרה בהשוואה לסמים אחרים, מוכרים יותר.",0,0,0,0,0,0,0,0,0
"כך, בעניין ותד הובהר כי מדובר בסם הנמנה על משפחת הקנבינואידים הסינטטיים, הנמכרים תחת המותג ""נייס גיא"" ודומיו.",0,0,0,0,0,0,0,0,0
"באותו מקרה סקר ביהמ""ש המחוזי את תכונותיהם הרעות של חומרים אלו והבהיר כי נוכח מאפייניהם אין להחיל על סמים ממשפחה זו את רמת הענישה המתונה באופן יחסי שנהוג להחיל על עבירות ביחס לסמים מסוג קנבוס או חשיש.",0,0,0,0,0,0,0,0,0
"עם זאת ציין כי מאחר וחומרים אלה הוכרזו כסמים פחות משנה עובר למתן גזר דינו, יש להעלות את רף הענישה באופן הדרגתי.",0,0,0,0,0,0,0,0,0
"ערעור הנאשמים על העונש שהושת עליהם, נדחה.",0,0,0,0,0,0,0,0,0
"ביהמ""ש העליון השיב בשני מישורים שונים לטענתם לפיה לא היה מקום להשית עליהם עונשים כה חמורים עוד בטרם התגבשה מדיניות ענישה באשר לסם חדש זה:  המישור הראשון הוא טיב הסם ומהות הסכנה הנשקפת ממנו – כפי שהם עולים מחוו""ד המומחה שהציגה המדינה.",0,0,0,0,0,0,0,0,0
"המישור השני הוא כי ביהמ""ש המחוזי התחשב באלמנט ה""חידוש"" שבהגדרת הסם כסם מסוכן, והדגיש כי ההחמרה במדיניות הענישה בהקשר לקנבינואידים הסינטטיים אינה יכולה להיעשות באבחה אחת.",0,0,0,0,0,0,0,0,0
פסק דין נוסף שעסק בענישה הראויה בגין החזקת נגזרת של אינדזול קרבוקסאמיד הינו עניין אלקנה.,0,0,0,0,0,0,0,0,0
גישה מקלה יותר ניתן למצוא בעניין מרדוש.,0,0,0,0,0,0,0,0,0
עוד ראוי להזכיר את עניין איסטחרוב.,0,0,0,0,0,0,0,0,0
"החלטות אלה אינן ניתנות ליישום ישיר על ענייננו, בשים לב להכרח להתאים את מתחמי הענישה לטיבו הספציפי של הסם המדובר, מאפייניו והשפעותיו,  אך הן מבטאות היטב את הנחיות ביהמ""ש העליון בדבר ענישה מרתיעה והולמת, ובמיוחד בשים לב לכך שמאז הכללת הסם לפקודה חלפו כמעט 7 שנים, ואין מדובר עוד במקרים ראשונים של אכיפה.",0,0,0,0,0,0,0,0,0
בעניינו של הנאשם מתקיימות מספר בלתי מבוטל של נסיבות לחומרה.,0,0,0,0,0,0,0,0,0
"מדובר אפוא במי שייבא סם שמסוכנותו ניכרת, והחזיק בביתו כמויות מסחריות משני סוגים שונים של סם, באופן המעיד על מעורבות עמוקה בעולם הסמים.",0,0,0,0,1,0,0,0,0
"הנזק שעלול היה להיגרם כתוצאה מהפצת סמים אלה לציבור הישראלי היה משמעותי, וכך היא גם עצמת הפגיעה של מעשי הנאשם בערכים המוגנים שפורטו לעיל.",0,0,0,0,0,0,0,0,0
"במכלול נסיבות אלה, ובשים לב לסוגי הסמים, לכמות הסם ולשילוב שבין עבירות הייבוא וההחזקה, ראוי לקבוע  מתחם עונש הולם הנע בין 27 ל-54 חודשי מאסר בפועל.",0,0,0,0,0,0,0,0,0
נתונים אלה יביאו למיתון העונש שיושת.,0,0,0,0,0,0,0,0,0
"הנאשם הורשע, על-פי הודאתו, במסגרת הסדר טיעון, בכתב אישום מתוקן בו יוחסו לו עבירות של ייבוא סם והחזקת סם שלא לצריכה עצמית, עבירות על סעיפים 13 ו-7(ג) רישא לפקודת הסמים המסוכנים [נוסח חדש], התשל""ג-1973 (להלן: ""הפקודה"").",0,1,0,0,0,0,0,0,0
שתי החבילות נשלחו אל כתובת חניון הסמוך למקום מגורי הנאשם בשוהם.,0,0,0,0,0,0,0,0,0
"בהתאם לסיכום מוקדם בין הנאשם לאחר, לצורך ייבוא הסם, תיאם הנאשם עם חברת המשלוחים ""פדקס"" את קבלת שתי החבילות.",0,0,0,0,0,0,0,0,0
ביום 23.8.20 הגיעו החבילות למכס בישראל ואותרו על-ידי המשטרה.,0,0,0,0,0,0,0,0,0
"ביום 24.8.20 בשעה 11:30 לערך, המתין הנאשם בחניון לקבלת שתי החבילות.",0,0,0,0,0,0,0,0,0
"למקום הגיע שוטר שהיה לבוש מדים של חברת ""פדקס"" ומסר לידי הנאשם את שתי חבילות הסם.",0,0,0,0,0,0,0,0,0
"בטיעוניו לעונש עמד ב""כ המאשימה על הפגיעה הקשה בערך המוגן של הגנת הציבור ושלומו, מפני פגיעתם הקשה של הסמים ושל הפשיעה הנלווית לשימוש בהם.",0,0,0,0,0,0,0,0,0
"עוד הדגיש, ביחס לנסיבות הקשורות בביצוע העבירה, את התכנון המוקדם שהיה כרוך במעשים, את חלקו המרכזי של הנאשם בעבירות, את הכמות הגדולה של הסם שיובא ושהוחזק על ידי הנאשם ואת העובדה כי נתפס כשהוא מחזיק בכמויות מסחריות בשני סוגים שונים של סמים.",0,0,0,0,0,0,0,0,0
"הנזק הצפוי ממעשיו של הנאשם היה ניכר, ומדובר במי שפעל מתוך מניע כלכלי גרידא.",0,0,0,0,0,0,0,0,0
"על רקע זה יש לתת משקל גם לשיקולי הרתעת היחיד, לצד שיקול הרתעת הרבים המתעורר במקרים מעין אלה.",0,0,0,0,0,0,0,0,0
"על יסוד נתונים אלה עתר התובע המלומד להציב את מתחם הענישה על טווח שבין 36 לבין 66 חודשי מאסר בפועל, וביקש לגזור את דינו של הנאשם באמצע המתחם, וכן להטיל עליו קנס כספי משמעותי ומאסר על תנאי.",0,0,0,0,0,0,0,0,0
"ב""כ המאשימה הגיש אסופת פסיקה התומכת בעמדתו זו.",0,0,0,0,0,0,0,0,0
"מנגד טען ב""כ הנאשם כי עסקינן בסם חדש יחסית שאינו מוכר באופן נרחב, וכי במקרים כאלה אין להטיל את מלוא כובד העונש על כתפיהם של הנאשמים הראשונים.",0,0,0,0,0,0,0,0,0
"עוד ביקש לשכנע כי חלקו של הנאשם במעשים קטן באופן משמעותי מחלקו של אותו אחר, שכן הנאשם רק אסף את שתי החבילות בעוד האחר קנה את הסמים ושלח אותם ארצה.",0,0,0,0,0,0,0,0,0
"ב""כ הנאשם הפנה לפסיקה מטעמו וביקש לאבחן את הפסיקה שהגיש התובע.",0,0,0,0,0,0,0,0,0
"נוכח שיקולים אלו ציין את עמדתו לפיה על מתחם הענישה במקרה זה לנוע בין 9 חודשי מאסר לריצוי בעבודות שירות לבין 30 חודשי מאסר בפועל, ויש למקם את הנאשם בחלקו התחתון של המתחם ולהשית עליו 12 – 13 חודשי מאסר בפועל.",0,0,0,0,0,0,0,0,0
"לעניין הקנס הכספי טען כי הנאשם לא הורשע בעבירת סחר ולא הפיק רווח כספי, ועל כן יש להשית קנס כספי מדוד בלבד.",0,0,0,0,0,0,0,0,0
"עניין יהודה רלבנטי למקרה שלפנינו גם בהיבט נוסף, שכן בדומה למקרה הנוכחי מדובר היה שם בסם מסוג חדש יחסית ופחות מוכר.",0,0,0,0,0,0,0,0,0
"בדבריו עמד ביהמ""ש העליון על הצורך בענישה מחמירה, גם כאשר מדובר בסמים מוכרים פחות, תוך התאמת רף הענישה לטיב הסם, השפעותיו והסיכונים הכרוכים בו (ההדגשות שלי – ח.ט.):",0,0,0,0,0,0,0,0,0
"במקרה שלפני, לא הוגשה חוות דעת בנוגע לטיבו ומאפייניו של הסם המסוכן שייבא הנאשם, וזאת לנוכח התנגדות הסנגור המלומד לבקשת התובע להגיש חוו""ד בנושאים אלה במסגרת הטיעונים לעונש.",0,0,0,0,0,0,0,0,0
"לפיכך, אין בידי מידע מפורט בנוגע לכלל המאפיינים הנוגעים לסם ולהשפעותיו.",0,0,0,0,0,0,0,0,0
"עם זאת, בחלוף השנים מאז הוכלל באוגוסט 2014 החומר מסוג אינדזול קרבוקסאמיד, על נגזרותיו המבניות, בפקודת הסמים המסוכנים, הצטברו מספר החלטות מהן ניתן ללמוד על אופיו של הסם, ועל מיקומו במדרג החומרה בהשוואה לסמים אחרים, מוכרים יותר.",0,0,0,0,0,0,0,0,0
"המישור השני הוא, כי בית המשפט המחוזי אמנם התחשב במידה מסוימת באלמנט ה""חידוש"" שבהגדרת הסם כסם מסוכן, והדגיש כי ""ההחמרה במדיניות הענישה בהקשר לקנבינואידים הסינטטיים...",0,0,0,0,0,0,0,0,0
"כך עשה, וכך ראוי שיעשה.",0,0,0,0,0,0,0,0,0
"נזכיר כי העונש המרבי בגין העבירות בהן הורשעו המערערים עומד על 20 שנות מאסר, כך שמתחמי הענישה שקבע בית המשפט קמא – שלא לדבר על העונש שהוטל על המערערים בפועל – אכן משקפים התחשבות שכזו.",0,0,0,0,0,0,0,0,0
"אם נפנה כעת ליישום ההלכות והעקרונות המנחים על המקרה שלפנינו, הרי שבעניינו של הנאשם מתקיימות, כפי שציין התובע, מספר בלתי מבוטל של נסיבות לחומרה.",0,0,0,0,0,0,0,0,0
"הנזק שעלול היה להיגרם כתוצאה מהפצתם של סמים אלה לציבור הישראלי היה משמעותי, וכך היא גם עצמת הפגיעה של מעשיו של הנאשם בערכים המוגנים שפורטו לעיל.",0,0,0,0,0,0,0,0,0
"על רקע מכלול נסיבות אלה, ובשים לב לסוגי הסמים, לכמות הסם ולשילוב שבין עבירות הייבוא וההחזקה, אני סבור כי ראוי לקבוע  מתחם עונש הולם הנע בין 27 ל-54 חודשי מאסר בפועל.",0,0,0,0,0,0,0,0,0
נתונים אלה יביאו למיתון העונש שיושת על הנאשם וימנעו את מיצוי מלוא כובד הדין עמו.,0,0,0,0,0,0,0,0,0
