text,Unnamed: 0,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE,GENERAL_CIRCUM,reject,CONFESSION,REGRET,CIR_TYPE,CIR_AMOUNT,CIR_ROLE,CIR_PLANNING,CIR_HELD_WAY,CIR_VALUE,RESPO,PUNISHMENT,CIR_PURPOSE
"בכל ההזדמנויות, מדובר בסם מסוכן מסוג קוקאין שפגיעתו קשה, בכמויות גדולות יחסית (סחר ב- 100 גרם, סיוע לסחר ב- 99  ו- 119 גרם והחזקה של 700 גרם) כאשר העבירות בוצעו ממניע כלכלי.",81,,,,,,,,['הסוג של הסמים הוא קוקאין'],['הכמות של הסמים היא 700 גרם'],,,,,,,
"לקולה אני מביא בחשבון את קבלת האחריות, ההודאה בכתב האישום המתוקן, החיסכון בהעדת הסוכן המשטרתי ובזמן שיפוטי (הגם שנשמעה עדותו של המפעיל), נסיבותיו האישיות והמשפחתיות של הנאשם כמפורט בטיעוני ההגנה ובדברי הנאשם, ובפרט מצבו הרפואי המורכב כעולה מהמסמכים הרפואיים שהוגשו (נע/1 והמסמכים שצורפו בהמשך).",93,,,,"['1 : כן', '2 : כן', '3 : כן', '4 : כן', '5 : כן', '6 : לא', '7 : לא', '8 : כן', '9 : כן', '10 : כן', '11 : לא']",,,,,,,,,,,,
"כך גם תובא בחשבון תקופת המעצר הארוכה בה הנאשם נתון עד היום (כידוע תנאי המעצר קשים מתנאי מאסר בפרט ביחס למי שסובל מבעיות רפואיות משמעותיות), והשלכות המעצר/מאסר על הנאשם ובריאותו, וכן על משפחתו ובפרט על בתו הצעירה.",95,,,,"['1 : כן', '2 : כן', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : כן', '10 : כן', '11 : לא']",,,,,,,,,,,,
"לחומרה אני מביא בחשבון את עברו הפלילי של הנאשם הכולל 21 הרשעות קודמות, ביניהן עבירות בתחום הרכוש, האלימות, לרבות עבירות של קבלת דבר במרמה בנסיבות מחמירות, שימוש במסמך מזויף, זיוף, שוד מזוין, גניבה, תקיפה בכדי לגנוב, איומים, תקיפה הגורמת חבלה ממשית ועוד, כאשר הרשעתו האחרונה הינה משנת 2017 בגינה נדון ל- 18 חודשי מאסר בפועל.",96,,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : כן', '11 : [לא]']",,,,,,,,,,,,
"ניכר כי חרף העונשים שהוטלו על הנאשם, הוא לא נרתע ושב וביצע עבירות פליליות חמורות.",97,,,,"['1 : כן', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"כל רכוש של אדם כאמור, ורכוש של בן זוגו ושל ילדיו אשר טרם מלאו להם עשרים ואחת שנים...",116,,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
בנוסף כתב האישום מייחס לנאשם הפקת רווח.,120,,,,,,,,,,,,,,,,
אני גוזר על הנאשם מאסר בפועל לתקופה של  55 חודשים  בניכוי ימי מעצרו מיום 10.01.23 ועד היום.,126,['55 חודשים'],['לא'],['לא'],,,,,,,,,,,,,
אני גוזר על הנאשם מאסר על תנאי לתקופה של 12 חודשים והתנאי הוא  שלא יעבור בתוך 3 שנים מיום שחרורו ממאסרו עבירת סמים מסוג פשע ויורשע בגינה.,127,['לא'],['12 חודשים'],['לא'],,,,,,,,,,,,,
אני גוזר על הנאשם מאסר על תנאי לתקופה של 6 חודשים והתנאי הוא  שלא יעבור בתוך 3 שנים מיום שחרורו ממאסרו עבירת סמים מסוג עוון ויורשע בגינה.,128,['לא'],['6 חודשים'],['לא'],,,,,,,,,,,,,
"אני מטיל על הנאשם קנס כספי בסך 10,000 ₪ או  50  ימי מאסר תמורתו.",129,['לא'],['לא'],"['10,000 ₪']",,,,,,,,,,,,,
