text,CIR_PUNISHMENT,GENERAL_CIRCUM,reject,CIR_TYPE,CIR_AMOUNT,CIR_ROLE,CIR_EQ,REGRET,RESPO,CONFESSION,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE,CIRCUM_OFFENSE
"ב""כ הנאשמת ציין, כי מדובר בעבירה שבוצעה לפני כשלוש שנים, והנאשמת, שהודתה ולקחה אחריות, מצרה על כך וחשה בושה גדולה.",,,,,,,,['כן'],['כן'],,,,,
המעשה נעשה בשל מערכת יחסים ואהבתה לאסיר.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"הנאשמת מטפלת בהוריה, ובמיוחד באביה החולה לאחר שעבר אירוע מוחי.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"הנאשמת, ציינה כי היא מתנצלת על שאירע.",,,,,,,,,,,,,,
ציינה כי עובדת בעסק המשפחתי ומסייעת להוריה במקביל.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"שירות המבחן התרשם, כי הנאשמת פיתחה תלות רגשית ואחרת כלפי בן זוגה, והוא שביקש מהנאשמת לבצע את העבירה בה הורשעה.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
מדובר בנאשמת בעלת עבר פלילי הכולל הרשעה פלילית מיום 28.5.15 - מאוחרת למעשה בו הורשעה בתיק זה - בעבירה של החזקת סם מסוכן לצריכה עצמית.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,
"מדובר במי שהודתה בכתב האישום המתוקן, לקחה אחריות על מעשיה, גם בפני שירות המבחן והביעה צער וחרטה על ביצוע העבירה.",,,,,,,,['כן'],['כן'],,,,,
"לא הובאו ראיות בפני שירות המבחן או בפני בית המשפט, כי הנאשמת עובדת בעסק המשפחתי, ולא הובאה כל ראיה כי ענישה התואמת עמדת המאשימה, תגרום לנאשמת נזק משמעותי במיוחד.",,"['1 : לא', '2 : כן', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"בעובדה שמדובר בנאשמת אשר בצקלונה הרשעה פלילית נוספת, אך מאוחרת לעבירה המיוחסת לה בתיק זה, יש כדי לקבוע שאין מקום לקבוע את העונש של הנאשמת שלא בצמוד לרף התחתון של מתחם הענישה אותו קבע בית המשפט, שהוא רף הענישה העליון המבוקש על ידי המאשימה.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,
"6 חודשי מאסר בפועל שירוצו בדרך של עבודות שירות בעמותת 'חכמה, ידע, לב חם' ברחוב רוטשילד 38, בחדרה במשך חמישה ימים בשבוע, 8 שעות וחצי ביום, או לפי קביעה אחרת של הממונה על עבודות השירות.",,,,,,,,,,,['6 חודשי מאסר בפועל'],[],[],
5 חודשי מאסר מותנה למשך 3 שנים מהיום.,,,,,,,,,,,[],['5 חודשי מאסר על תנאי'],[],
מאסר זה יופעל במידה והנאשמת תעבור במשך תקופת התנאי כל עבירת על פקודת הסמים או עבירה של החזקת חומר מסכן מסוג עוון או ניסיון לעשות כן.,,,,,,,,,,,,,,
8 חודשי מאסר מותנה למשך 3 שנים מהיום.,,,,,,,,,,,[],['8 חודשי מאסר על תנאי'],[],
מאסר זה יופעל במידה והנאשמת תעבור במשך תקופת התנאי כל עבירת על פקודת הסמים מסוג פשע או ניסיון לעשות כן.,,,,,,,,,,,,,,
"אני משית על הנאשמת קנס בגובה של 5,000 ₪ או 50 ימי מאסר תמורתו.",,,,,,,,,,,[],[],"['5,000 ₪']",
"הקנס ישולם בחמישה תשלומים שווים ורצופים, התשלום הראשון ישולם עד ליום 1.2.17.",,,,,,,,,,,,,,
"אני פוסל את הנאשמת מלקבל או להחזיק רישיון נהיגה, פסילה זו תהא על תנאי ולתקופה בת 3 חודשים, זאת למשך 3 שנים מהיום והתנאי שלא תעבור כל עבירה על פקודת הסמים המסוכנים.",,,,,,,,,,,[],[],[],
