text,reject,PUNISHMENT,GENERAL_CIRCUM,CONFESSION,CONFESSION_LVL2,CIR_TYPE_WEP,CIR_PURPOSE,CIR_PLANNING,CIR_MONEY_PAID_WEP,CIR_HELD_WAY_WEP,REGRET,RESPO,CIR_USE,CIR_STATUS_WEP,CIR_OBTAIN_WAY_WEP,CIR_BUYER_ID_WEP,CIR_AMMU_AMOUNT_WEP,CIRCUM_OFFENSE
"בפיו נמצא הסבר לבריחה לפיו לא זיהה כי מדובר בשוטרים וגם לאחר שקראו לו ""עצור משטרה"" לא האמין כי אכן מדובר בשוטרים.",,,,,,,,,,,,,,,,,,
"לדבריו, מאז נרצח אביו על ידי אדם אשר היה לבוש בגדי שוטר אין הוא נותן אמון למראה עיניו ומאחר וחשש שמבקשים לפגוע בו, בהתאם למידע שקיבל מיחידת הבילוש באשקלון, החל במנוסה ורק כאשר הבחין בבלש יניב פינחס, אותו הוא מכיר, עצר ולא התנגד למעצר.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,[],"['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",[],,,
"הנאשם הכחיש כי אחז דבר מה בידיו, כי השליך את אותו דבר מה אל עבר הגג שנמצא במקום וכי אותו דבר מה הוא רימון הלם, אשר נמצא מאוחר יותר על גג המבנה, כמיוחס לו.",,,,,,['רימון הלם/גז'],[],,,[],,,,,[],,,
כן הכחיש כי השליך את הכפפות.,,,,,,,,,,,,,,,,,,
"הנאשם הסביר כי הגיע למקום מאחר וביקש לקנות לו דברי מתיקה בדוכן הקיוסק שבמקום, כי אחז בו הרעב, וכי נוכחותו במקום הייתה תמימה לחלוטין.",,,,,,,,,,,,,[],[],[],,,
"ב""כ הנאשם השיג אחר התנהלות המשטרה, אשר השמידה את רימון ההלם  שנתפס, עובר לתחילת משפטו, באופן אשר פגע בזכותו לבדוק את הראיה וכן השיג אחר קיומה של שרשרת מוצג הרימון.",,,,,,['רימון הלם/גז'],,,,,,,,,,,,
על הרימון ולא ממצאי בדיקת ד.נ.א בכובע הגרב שהחיל את רימון ההלם- אשר יש בהם כדי לקשור את הנאשם לרימון שנמצא.,,,,,,['רימון הלם/גז'],,,,,,,,,,,,
"שאלה אחת שנויה במחלוקת, המעוררת שאלות משנה, והיא - האם החזיק הנאשם ברימון הלם בידיו, במועד האירוע, אותו השליך לעבר גג סוכנות ה""סובארו"" במהלך המרדף אחריו?",,,,,,['רימון הלם/גז'],,,,[],,,,,,,,
האם הוכח כי החפץ אשר נמצא על הגג הינו רימון הלם ?,,,,,,['רימון הלם/גז'],,,,,,,,,[],,,
"אין חולק כי הוא היחידי אשר ראה, לגרסתו, את הנאשם כשהוא משליך חפץ אל עבר גג המבנה ולאחר מכן את הכפפות אל עבר השיחים אשר היו במקום.",,,,,,,,,,[],,,[],['נשק עם מחסנית בהכנס'],,,,
בחקירה נגדית ביקש הסנגור לקעקע את אמינות דבריו ולהוכיח כי אין זה סביר כי מכל הנוכחים בזירת האירוע רק עד זה יראה את זריקת החפץ אל עבר גג המבנה.,,,,,,,,,,,,,,,,,,
לדידו אין זאת כי אם קנוניה אשר נעשתה כדי להפליל את הנאשם בכל מחיר וכי בנימין הנחה את השוטרים למצוא את הממצאים – הרימון והכפפות- אשר לטענתו  נשתלו בזירת האירוע.,,,,,,,,,,,,,,,,,,
"ולבחינת עדותו של בנימין- בנימין סיפר כי קיבל משימה להציב מארב במרכז ""אפרידר"" באשקלון, לנוכח מידע שהתקבל לפיו הנאשם אמור לזרוק רימון  על בית קפה ""שמש"" שבמקום.",,,,,,['רימון רסס'],,,,,,,,,[],,,
"השוטרים כפיר ולירון התמקמו במתחם החניה האחורית במרכז, קרן הייתה בתצפית על בית הקפה ""שמש"", ליאור וסיוון היו ברחוב אורט הגובל במתחם המסחרי והוא וקצין הבילוש, אריק שמעון (להלן: ""אריק""), היו בתוך המרכז המסחרי.",,,,,,,,,,[],,,,"['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",,,,
"בנימין ציין כי ברגע שהבחור הגיע למעבר הוא, יחד עם קצין הבילוש שהיה אתו, אריק, קראו לו לעצור והזדהו כמשטרה.",,,,,,,,,,,,,,,,,,
"הבן אדם הסתובב רץ לכיוון רחוב אורט ואנחנו דולקים אחריו, אני הייתי ראשון, אריק היה מאחורי.",,,,,,,,,,,,,,,,,,
"ב""כ הנאשם חקר את בנימין שוב ושוב בשאלה מדוע מצא לנכון לעצור את הנאשם, עוד בטרם הבחין ברימון שבידו כפי שנטען?",,,,,,['רימון רסס'],,,,,,,,,,,,
"בנימין השיב כי: ""אנחנו קיבלנו דיווח מאריק שמעון שהבחור יוסי בוחבוט עומד לזרוק רימון על בית קפה שמש.",,,,,,,,,,,,,,,[],,,
"עצם ההימלטות שלו, עצם זריקת דבר מה, העלה לי את החשד שיש שם רימון ואחרי שבדקו את זה"" (עמ' 15 לפרוטוקול).",,,,,,['רימון רסס'],,,,,,,,,,,,
"בהמשך ציין בנימין כי משהבחין ברכב הבילוש (בו היו ליאור וסיוון) שדולק אחריו חזר הוא למקום והורה לשני שוטרים (כפיר ולירון) לחפש בזירת האירוע את שראה נזרק, האחד בגג והשני בשיחים.",,,,,,,,,,,,,,,,,,
"לדבריו, כפיר מצא על הגג גרב ובתוכה רימון ובהמשך מצא כפפות בשיחים.",,,,,,['רימון רסס'],,,,['סמוך לבית'],,,,[],[],,,
"בנימין הודה כי לא מצא לנכון לרשום בדו""ח הפעולה כי ראה שנזרק חפץ בגודל של כדור טניס, מאחר ולא ראה בכך כל חשיבות (עמ' 8-9 לפרוטוקול).",,,,['לא'],,,,,,,,,,,,,,
"כדבריו: ""ברגע שראיתי את החפץ נזרק, לא ידעתי מה נזרק, ידעתי שזה משהו קטן, לא יודע להעריך את גודל החפץ"" (עמ' 9 לפרוטוקול).",,,,,,,,,,,,,,,,,,
"בנימין  נשאל כיצד ניתן לדעת בוודאות כי האדם שאחריו נערך המרדף ובסופו נעצר הוא אותו אדם שהשליך את הרימון והשיב ""ברגע שאני ראיתי אותו יוצא מהמעבר ורדפתי אחריו כל הזמן הייתי בקשר עין איתו עד למעצר.",,,,,,,,,,,,,,,,,,
"כאשר התבקש להסביר הכיצד רק הוא ראה את הזריקה אל עבר הגג בעוד אריק, אשר היה אתו, לא ראה את הדברים, השיב הלה כי במרדף אחר הנאשם היה הוא ראשון ואחריו רץ אריק וכי יתכן כי בשל כך לא ראה אריק את אשר הוא ראה.",,,,,,,,,,,,,,,,,,
"כדבריו: ""כשאני רצתי לכיוון החשוד  הוא (אריק- הבהרה שלי ר.ב.",,,,,,,,,,,,,,,,,,
) היה מאחורי.,,,,,,,,,,,,,,,,,,
כשאני המשכתי לרוץ אני לא יודע אם הוא המשיך להיות מאחורי.,,,,,,,,,,,,,,,,,,
"אני מאשר שאני לא יודע אם אריק היה מאחורי לאורך כל הדרך עד סוף המרדף כשהוא נעצר"" (עמ' 11 לפרוטוקול).",,,,,,,,,,,,,,,,,,
אשר לסימני זיהוי משטרתיים – בנימין אישר כי כשהחלה הפעילות היא הייתה בעלת אופי סמוי וכי שוטרי הבילוש לא לבשו מדים ולא היו במקום אורות כחולים מהבהבים (עמ' 7 לפרוטוקול).,,,,,,,,,,,,,,,,,,
"אשר ליכולת הזיהוי האובייקטיבית - הדגיש בנימין כי השעה שבה הבחין בנאשם היה בסביבות השעה 03:00 לפנות בוקר וכי הייתה קיימת תאורה לכל אורך הרחוב, פרט לחניה שהייתה חשוכה.",,,,,,,,,,,,,,,,,,
כן ציין כי המרחק בינו לבין הנאשם היה בין 5-10 למטר וכי הנאשם יכול היה להבחין על נקלה בסימני הזיהוי המשטרתיים מה גם שהם קראו לו והזדהו כמשטרה.,,,,,,,,,,,,,,,,,,
"בהתאם, התאורה במקום והמרחק הקצר אשר היה בינו לבין הנאשם אפשרו לו להבחין מקרוב במעשיו של הנאשם.",,,,,,,,,,,,,,,,,,
"בנימין אישר כי לא הבחין בזמן המרדף בנאשם כשהוא מחזיק בידו משהו, או שהוא מנסה להוציא מכיסו דבר מה, או מרים ולוקח חפץ מסוים.",,,,,,,,,,,,,,,,,,
"אולם, הדגיש כי היה במרחק של 5-10 מטרים מהנאשם, הבחין היטב בדמותו וכי הרחוב היה מואר והיו פנסי רחוב, עובדה שסייעה בידו להבחין בנאשם כשהוא זורק חפץ לעבר הגג וכי אחרי הזריקה הבחין כי הוא מניח משהו בין השיחים (עמ' 11-12 לפרוטוקול).",,,,,,,,,,[],,,,['נשק עם מחסנית בהכנס'],,,,
"בנימין הופנה לתמונות (ת/9) אשר באחת מהן מצולם השיח לשם לטענתו ראה את הנאשם משליך כפפות, אשר נמצאו שם לאחר מכן.",,,,,,,,,,[],,,,[],[],,,
"בתמונה ניתן לראות שיח גזום        לגובה של כ- 10 ס""מ מהקרקע.",,,,,,,,,,,,,,,,,,
"בנימין אישר כי הכפפות נזרקו לשיח זה, אשר כנראה נגזם לאחר מכן.",,,,,,,,,,,,,[],,,,,
אשר לטענת הסנגור כי הבעלים של המסעדה הנמצאת בסמוך אמר לו כי לא היה שם מעולם כל שיח השיב כי אין לו מה להגיד.,,,,,,,,,,,,,,,,,,
"לעניין תפיסת הרימון אישר בנימין כי לאחר תפיסת הרימון על הגג הוזמן חבלן לזירת האירוע אולם, מאחר והתברר כי שוטרים נגעו ברימון לא הגיע החבלן לזירה והם לקחו את הרימון לתחנת המשטרה.",,,,,,['רימון רסס'],,,,,,,,,[],,,
"לדבריו: ""אני הזמנתי חבלן למקום, לא הגיע חבלן למקום נאלצנו לקחת את הרימון לתחנה.",,,,,,,,,,,,,,,[],,,
"אמרו שכבר נגענו ברימון, אין טעם שהחבלן יבוא לשם, אם לא היינו נוגעים ברימון החבלן היה מגיע.",,,,,,['רימון רסס'],,,,,,,,,,,,
"כשאני אומר נגעו ברימון, אני אומר שהם התעסקו עם הרימון, השוטר כפיר שלו נגע ברימון"" (עמ' 15 לפרוטוקול) .",,,,,,['רימון רסס'],,,,,,,,,,,,
"לשאלת ב""כ הנאשם אם ראה את השוטר יניב פינחס בזירה השיב: ""ראיתי אותו אחרי המעצר.",,,,,,,,,,,,,,,,,,
"ראיתי אותו על רחוב אורט"", אך ציין כי לא זכור לו אם יניב פינחס ביצע את המעצר.",,,,,,,,,,,,,,,,,,
"בנוסף, לעדותו של בנימין, אשר הינה כאמור עדות מרכזית ועיקרית לאשר ארע בזירת האירוע,  באה בפני עדותו של אריק שמעון (להלן: ""אריק"") אשר היה קצין הבילוש בזמן האירוע והצטרף לצוות שבראשו עמד דב בנימין.",,,,,,,,,,,,,,,,,,
"גם אריק ציין כי  קודם לאירוע נערכו בזירה 4 צוותים, באזור בתי הקפה, לנוכח מידע מודיעיני שהתקבל.",,,,,,,,,,,,,,[],,,,
"לדבריו, הוא התמקם יחד עם בנימין ליד בתי הקפה.",,,,,,,,,,,,,,,,,,
"בסביבות השעה 03:00 קיבל דיווח מראש צוות העיקוב כי הנאשם יצא מביתו, תוך כדי תיאורו ""..",,,,,,,,,,,,,,,,,,
"לובש כובע קסקט, ג'ינס וחולצה אפורה דרך המעברים מגיע למתחם..."" (עמ' 97 לפרוטוקול).",,,,,,,,,,,,,,,,,,
"אריק הודה כי לא ראה את הנאשם זורק דבר מה אל עבר הגג של המתחם, כפי שהעיד בנימין, אך ציין כי ראה את הנאשם משליך דבר מה אל עבר השיחים.",,,,['לא'],,,,,,,,,,,,,,
"כן הדגיש כי היה שיח בזירת האירוע, שהשתרע  לגובה של 1.5 מטר, וכי לשם ראה את הנאשם באופן וודאי משליך דבר מה, אשר בדיעבד התברר כי מדובר בכפפות.",,,,,,,,,,,,,[],,,,,
"אריק הסביר כי הזריקה אל עבר הגג הייתה מספר מטרים מן המקום בו הבחינו בנאשם וכי במהלך הריצה אחרי הנאשם בנימין היה ראשון, אחרי הנאשם,  והוא אחרי בנימין ומאחר ורץ בקו אחד אחרי בנימין לא ראה את המתרחש וכנראה בשל כך לא ראה את הזריקה.",,,,,,,,,,[],,,[],['נשק עם מחסנית בהכנס'],,,,
דובי רץ ראשון ואני אחריו.,,,,,,,,,,,,,,,,,,
"הייתי טיפה אחריו"" (עמ' 99 לפרוטוקול).",,,,,,,,,,,,,,,,,,
"על אף זאת, ציין כי היה לו קשר עין רציף במרבית זמן האירוע, כאשר למספר שניות בודדות נותק קשר העין עם הנאשם ולכן לא הבחין בחפץ שנזרק אל עבר הגג, בעוד שבנימין כן הבחין, אך הבחין בזריקה אל עבר השיחים.",,,,,,,,,,,,,,,,,,
"כל מהלך הריצה היה ריצה רגילה, באותה נקודת זמן הייתה הושטה של היד ימינה לכיוון השיחים."" (עמ' 109 לפרוטוקול).",,,,,,,,,,,,,,,,,,
"אריק אישר כי לאחר מעצרו של הנאשם נעשו מספר סריקות בזירת האירוע, כאשר בנימין מכוון את החיפושים, מאחר והוא ראה את הזריקה אל עבר הגג ושניהם ראו את הזריקה אל עבר השיחים וכי אכן על הגג מצא כפיר את הרימון ובשיחים נמצאו הכפפות.",,,,,,,,,,['סמוך לבית'],,,,"['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",,,,
"לדבריו, עם תפיסת הרימון הוזעק חבלן, אולם עוד לפני שזה בדק את הרימון העריך, על פי  מיטב ידיעתו, בהיותו לוחם בצה""ל, כי מדובר ברימון הלם.",,,,,,['רימון הלם/גז'],,,,,,,,[],[],,,
"בעדותו  ציין כי הכיר את הנאשם עוד לפני האירוע הנדון וכי בזמן האירוע היה ביחד עם השוטר לירון בתצפית על זירת האירוע, מעל פרגולה שהייתה בקרבת מקום.",,,,,,,,,,[],,,,['נשק עם מחסנית בהכנס'],[],,,
"לדבריו, כאשר ירדו מהפרגולה הבחין כי הנאשם החל במנוסתו מהזירה, השניים רדפו אחריו  עד שנעצר על ידי שוטרים אחרים.",,,,,,,,,,,,,,,,,,
"כפיר סיפר כי בנימין אמר לו שראה זריקה אל עבר הגג של המבנה, הנמצא במתחם, וביקש ממנו לעלות על הגג ולעשות סריקה.",,,,,,,,,,,,,,,,,,
"בהמשך תיאר את הסריקה של הגג, כשלירון מחזיק את הפנס ומאיר את דרכו ויחדיו סרקו את הגג עד אשר הבחין בכובע גרב, קרוב מאוד לשלט הסובארו (עמ' 45 לפרוטוקול) שבתוכו בסופו של יום נמצא רימון ההלם, שהובא לתחנת המשטרה לבדיקה של החבלן המשטרתי  (עמ' 41 לפרוטוקול).",,,,,,['רימון הלם/גז'],,,,['סמוך לבית'],,,,['נשק עם מחסנית בהכנס'],,,,
"כן ציין כי פרט לרימון לא נמצאו על הגג חפצים נוספים, למעט צמיג של גלגל.",,,,,,['רימון רסס'],,,,,,,,['נשק עם מחסנית בהכנס'],[],,,
"כפיר אף חיזק את דברי בנימין לעניין מציאת הכפפות בשיחים בזירת האירוע ומקום מציאת הכפפות (עמ' 49 לפרוטוקול) ואף ציין כי ""אני זוכר בוודאות במאה אחוז שבאותו זמן ב-30/7/04 היו שם שיחים, ומצאתי את הכפפות בשיחים, אם היום אין שיחים אז...."" (עמ' 49 לפרוטוקול).",,,,,,,,,,,,,,,,,,
"כפיר חיזק את עדותו של בנימין אף לעניין תפיסת הרימון עצמו, תוך שהוא מציין בעדותו כי נתפס ""רימון השהייה עם מספר רשום בשורה מתחת אחת לשנייה רימון מס' 20 הלם סימן 2 סידרה 1-97 דצ השהייה שתי שניות.",,,,,,['רימון הלם/גז'],,,,,,,,,,,,
"והכנסתי לתוך מעטפה משטרתית שמספרה 786516-E  ...את הרימון נתתי מסרתי לחבלן""(עמ' 50 לפרוטוקול).",,,,,,,,,,,,,,,,,,
"גם מעדותו של  לירון, בלש אשר נטל חלק באירוע, עולה כי  הוצב בזירת האירוע בתצפית, לאחר שהתקבל מידע לפיו הנאשם – יוסי בוחבוט- אמור להגיע למרכז אפרידר ולזרוק רימון.",,,,,,,,,,,,,,"['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",[],,,
"לדבריו, בסביבות השעה 03:00 לפנות בוקר, במהלך התצפית, הבחין בדמות המגיעה למקום, כשהיא מחזיקה בידה בחפץ כהה וכשהיא חוצה את החנייה לכיוון מרכז אפרידר.",,,,,,,,,,[],,,[],['נשק עם מחסנית בהכנס'],,,,
אז הבחין בו כשהוא רץ בחזרה ושני שוטרים רצים אחריו.,,,,,,,,,,,,,,,,,,
"לירון ציין כי זיהה את הדמות כיוסי בוחבוט, עימו יש לו היכרות קודמת,  כשהוא לבוש ג'ינס כחול, חולצה כהה וכובע וכי הבחין כי הוא מחזיק משהו בידו, בגודל כף ידו.",,,,,,,,,,,,,,,,,,
"בהמשך האירוע נשלח לירון לחפש אחר החפץ שנזרק לכיוון הגג, יחד עם כפיר.",,,,,,,,,,,,,,,,,,
"בהיבט סימני הזיהוי המשטרתיים ציין כי בזמן האירוע צעקו השוטרים ""משטרה עצור"" וחלקם חבשו כובעי בילוש - משטרה.",,,,,,,,,,,,,,,,,,
וכן לזר והדגיש בחקירתו הנגדית כי ראה את הנאשם בוודאות כשהוא אוחז בחפץ כלשהוא עת צעד לכיוון המתחם וכי ראה שהנאשם החזיק זאת ביד ימין וכי היה זה חפץ בגודל של כף יד . (עמ' 116 לפרוטוקול).,,,,,,,,,,[],,,,"['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",,,,
"עדותו של ליאור, חוקר בימ""ר דרום, מהווה אף היא חיזוק לגרסתו של בנימין ושל האחרים, ליאור סיפר כי הוצב בזירת האירוע ברכב משטרתי, בו נהג, כשלצידו השוטר סיוון.",,,,,,,,,,,,,,,,,,
"ליאור העיד לגבי בריחתו של הנאשם מכיוון המרכז לכיוון רח' אורט ולאחר מכן לרח' דב ברייר,  כשקבוצת שוטרים רצה אחריו.",,,,,,,,,,,,,,,,,,
"ליאור אף ציין את שמותיהם של שוטרי הבילוש שנטלו חלק באירוע, ""זה היה לירון וזה היה כפיר וזה היה דב בנימין.."" (עמ' 68 לפרוטוקול) ואף הדגיש כי הייתה תאורה במקום.",,,,,,,,,,,,,,,,,,
"ליאור חיזק את דברי בנימין לעניין סימני הזיהוי המשטרתיים אשר היו בזמן האירוע ""כשיצאתי מהרכב חבשתי כובע בילוש והנחתי על גג הרכב אור כחול מהבהב ...",,,,,,,,,,,,,,,,,,
"לדבריו, כאשר הבחין במרדף אחר הנאשם נסע הוא לכיוון הנאשם במטרה להשיגו.",,,,,,,,,,,,,,,,,,
"כן הבהיר כי לאורך המרדף אחר הנאשם נהג הוא ברכב הבילוש בעקבותיו, במרחק של מספר מטרים בודדים וכי על הרכב היה אור כחול מהבהב.",,,,,,,,,,,,,[],"['נשק מופרד מתחמושת', 'נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",,,,
"לדבריו, בשלב מסוים עצר את הרכב והוא וסיוון ירדו מהרכב וסיוון תפס את הנאשם.",,,,,,,,,,,,,,,,,,
ליאור הדגיש כי סיוון חבש כובע זיהוי משטרתי כאשר תפס את הנאשם.,,,,,,,,,,,,,,,,,,
"סיוון, אשר היה מצוות באירוע עם ליאור, העיד אודות המידע המודיעיני אשר נמסר להם לקראת הפעילות והוא כי אמור להגיע למקום אדם ולהשתמש באמצעי לחימה, למטרה פלילית.",,,,,,,,,,,,,,,,,,
"לעניין מיקומם בזירת האירוע, ציין כי הוא וליאור ישבו ברכב בסמוך לרחוב אורט וכי בסמוך לשעה 3:00 לפנות בוקר קיבלו מידע אודות  אדם שמגיע לכיוון מרכז אפרידר וממשיך לכיוון רחוב אורט וכי מיד לאחר מכן הבחין במרדף רגלי של ארבעה שוטרים: בנימין, שמעון, כפיר ולירון אחריו.",,,,,,,,,,[],,,,"['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",,,,
"כמו כן, ציין את סימני הזיהוי שלו כשוטר בעת שעצר את הנאשם.",,,,,,,,,,,,,,,,,,
"כן ציין כי הנאשם התנגד למעצרו ""...",,,,,,,,,,,,,,,,,,
"הוא ניסה למשוך את עצמו ממני, אני תפסתי אותו הוא ניסה למשוך את עצמו ממני.",,,,,,,,,,,,,,,,,,
כשניסיתי להוריד אותו לרצפה הוא התנגד וגם על הרצפה הוא לא נרגע רק אחרי 10-20 שניות.,,,,,,,,,,,,,,,,,,
"סיוון התייחס לטענת ההגנה כי הנאשם הפסיק את התנגדותו למעצר כאשר הבחין בשוטר יניב פינחס והשיב ""..",,,,,,,,,,,,,,,,,,
".לפי מה שאני זוכר, במקום, המעצר עד רגע, בעצם ההשתלטות, בעצם עד לרגע הפסקת ההתנגדות היו בלשים בלבד.",,,,,,,,,,,,,,,,,,
"כל הנוגעים בתפקיד, קצינים מפקדים, הגיעו רק מספר דקות אחרי זה"".(עמ' 79 לפרוטוקול).",,,,,,,,,,,,,,,,,,
"גם בחקירתו הנגדית הדגיש סיוון כי ""..",,,,,,,,,,,,,,,,,,
"באותו רגע שהיה המעצר אני ראיתי מי הבלשים שרדפו, ראיתי מי היה כמובן איתי ברכב, בזמן המעצר אני מודה שלא הסתכלתי אבל כשקמתי ונגמר המעצר עדיין לא היה אף אחד בשטח, רק אחרי, לא יודע קשה לי להעריך בדיוק זמנים, אבל אולי דקה הגיעו אנשים."" (עמ' 84 לפרוטוקול).",,,,,,,,,,,,,,,,,,
"כשאני אומר פנינו אני מתכוון אני והבלש"" (עמ' 92 לפרוטוקול).",,,,,,,,,,,,,,,,,,
"בחקירתו הנגדית, כאשר הופנה לגרסתו של בנימין, לפיה אינו יודע מי בירר את העניין עם השיח, השיב כי למיטב זכרונו הוא זה אשר פנה לברר.",,,,,,,,,,,,,,,,,,
"כאשר עומת עם הטענה, אשר באה בפניו על ידי  ב""כ הנאשם, לפיה הבעלים של המסעדה הינה גברת ולא אדון השיב ""יכול להיות.",,,,,,,,,,,,,,,,,,
אני דיברתי עם גבר.,,,,,,,,,,,,,,,,,,
יוספוב התייחס לגבי צילום התמונה בה נראה בנימין מצביע על מקום מציאת הכפפות בין השיחים והסביר כי סביר להניח כי צילם את התמונות יומיים לאחר האירוע.,,,,,,,,,,,,,,['נשק עם מחסנית בהכנס'],,,,
אולם בחקירתו הנגדית מסר כי אינו יכול לשלול את העובדה שייתכן וצילם את התמונות אף בשעות הבוקר המאוחרות של יום האירוע (עמ' 94 לפרוטוקול).,,,,,,,,,,,,,,,,,,
יוספוב הוסיף וציין כי אמנם נלקחה בדיקת ט.א. (נ/6) מן המנוף של רימון ההלם אשר נתפס וייתכן שגם מהרימון עצמו אך לא נמצאו ממצאים   והסביר כי לא בכל מוצג תמצא טביעת אצבע.,,,,,,['רימון הלם/גז'],,,,,,,,,,,,
"יוספוב  התייחס לבדיקות שביקש לערוך, במעבדת סיבים ומעבדה ביולוגית לכובע הגרב אשר בתוכו נמצא הרימון, בדיקה בה קיוו למצוא ממצאי התאמת DNA  מן השערות אשר נמצאו בכובע הגרב לבין הנאשם.",,,,,,['רימון רסס'],,,,[],,,,,,,,
יוספוב אישר כי הנאשם מסר שיערה משיער ראשו לצורך בדיקה זו.,,,,,,,,,,,,,,,,,,
"יוספוב הסביר כי קיבל תשובה לפיה  ""...",,,,,,,,,,,,,,,,,,
לעניין תוצאות הבדיקה (נ/7) כי השערות שנלקחו מראשו של הנאשם אינן זהות לשערות שנמצאו בכובע הגרב ציין כי הדבר אינו זכור לו.,,,,,,['אקדח'],,,,,,,,,,,,
"1	עדות הנאשם - ביום 30/7/04 מסר הנאשם לראשונה את גרסתו במשטרה (ת/11), לפיה  בשעת האירוע יצא את ביתו הסמוך למרכז אפרידר לכיוון פיצוציה הממוקמת במרכז אפרידר כדי לקנות דברי מתיקה, כשלפתע הבחין באלמונים רודפים אחריו והחל לרוץ מפניהם, הנאשם הסביר את מנוסתו בעצם העובדה כי קדמה לכך אזהרה של קצין המודיעין של ימ""ר דרום דאז, יניב פינחס, כי אורבת לו סכנה.",,,,['לא'],,,,,,,,,,['נשק עם מחסנית בהכנס'],,,,
