text,reject,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE,GENERAL_CIRCUM,CIRCUM_OFFENSE,CONFESSION,CONFESSION_LVL2,CIR_TYPE_WEP,CIR_PURPOSE,CIR_PLANNING,CIR_MONEY_PAID_WEP,CIR_HELD_WAY_WEP,REGRET,RESPO,CIR_USE,CIR_STATUS_WEP,CIR_OBTAIN_WAY_WEP,CIR_BUYER_ID_WEP,CIR_AMMU_AMOUNT_WEP,PUNISHMENT
"לדבריו, המתלונן אף רצה להגיע לבית המשפט עם אבי הנאשם כדי לבקש הקלה בדינו.",,,,,,,,,,,,,,,,,,,,,
"האירוע נשוא האישום קרה ביום 29/5/14 ואילו הנאשם נעצר באוקטובר 14', לאחר שנמצא DNA שלו על חלקי הרימון.",,,,,,,,,,,,,,,,,,,,,
"אשר לנסיבותיו האישיות של הנאשם, בתקופת מעצרו נולד לו בן, אותו לא ראה, ואשתו מתקשה לנהל את הבית לבדה.",,,,,"['1 : לא', '2 : כן', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,
"הנאשם, שלא חלה עליו חובת גיוס, בשל מגוריו בדיר אל אסד, שירת שלוש שנים במג""ב איו""ש בתקופת הלחימה האמיתית שהיתה שם שהיו אירועים כמעט יום יומיים, סיכן את חייו פעמים רבות, ותפס הרבה מחבלים בתקופת שירותו, למרות שהיה חייל בשירות חובה.",,,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,
"לנאשם שני אחים, אחד מ""מ בגבעתי, השני גם הלך לצבא בשירות סדיר.",,,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,
מדובר במשפחה בה האב דאג שבניו ישרתו בצבא ויתרמו למדינה.,,,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,
"הוא הדגיש את הנזק הרב שנגרם לנאשם – שעבד בעבר במלצרות וגם במפעל בשר, לאשתו - שנאלצה לצאת לשוק העבודה אחרי לידה כדי להתקיים ולהתפרנס, ולבני משפחתו.",,,,,"['1 : לא', '2 : כן', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,
"נוכח כל אלה, טען הסנגור כי די בתקופת המעצר שהנאשם ריצה עד כה.",,,,,,,,,,,,,,,,,,,,,
"הסנגור הפנה לגזרי דין בעבירות חמורות מזו בה הורשע הנאשם, לרבות בעבירות נוספות, שם נגזרו על הנאשמים שישה חודשי מאסר לריצוי בעבודות שירות.",,['הנאשם קיבל 6 חודשי מאסר לריצוי בעבודות שירות'],[],[],,,,,,,,,,,,,,,,,
"הוא הדגיש כי מעצר עד תום ההליכים קשה לנשיאה יותר ממאסר, מקל וחומר מאסר לריצוי בעבודות שירות, ומששוהה הנאשם במעצר משך ארבעה חודשים, ראוי להסתפק בכך.",,,,,,,,,,,,,,,,,,,,,
"לטענתו, אילו נוהל התיק כאשר  הנאשם היה משוחרר, היתה סבירות גבוהה לסיום התיק בעבודות שירות.",,,,,,,,,,,,,,,,,,,,,
"לגבי הרשעתו הקודמת של הנאשם ביקש לציין את הזמן הרב שחלף מהעבירה הקודמת ועד היום, המלמדת כי אין מדובר באדם שדרכו עבריינית, ויש להעדיף את השיקול השיקומי, המאפשר סטיה ממתחם הענישה.",,,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : כן', '11 : כן']",,,,,,,,,,,,,,,,
"לכן, מכל הסיבות שציין ביקש לתת לנאשם הזדמנות, לשחררו, לאפשר לו להשתקם, לחזור לחיק המשפחה ולעבודתו, תוך הטלה של מאסר מותנה ארוך הצופה פני עתיד.",,,,,,,,,,,,,,,,,,,,,
"הנאשם הורשע על סמך הודאתו בהסדר בכתב אישום מתוקן בהחזקת  רימון הלם, כאשר הרימון הושלך סמוך לאחר מכן למרפסת ביתו של המתלונן, התפוצץ והשמיע קול נפץ עז.",,,,,,,['כן'],,['רימון הלם/גז'],,,,['סמוך לבית'],,,,"['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",['מאחר'],,,
"כתב האישום אינו מייחס לנאשם את השלכת הרימון, אך ניתן להסיק מהעובדה שמיד שהרימון הושלך והתפוצץ סמוך לאחר שהנאשם החזיק בו, שלמצער לא שמר עליו מפני שימוש בו לרעה.",,,,,,,,,['רימון רסס'],,,,[],,,,,[],,,
רק למזלו הטוב לא היה איש במרפסת השכן עת נחת בה הרימון והתפוצץ.,,,,,,,,,,,,,,,,[],['נשק עם מחסנית בהכנס'],[],,,
"אכן, שעה שברימון הלם עסקינן, הפסיקה ריככה מעט את עמדתה, אך יש לזכור כי קרבתו של אדם לרימון הלם שהתפוצץ עלולה לגרום לו פציעה קשה.",,,,,,,,,,,,,,,,,,,,,
יש לזכור כי יש ברימון הלם כדי לפגוע בגופו של אדם הקרוב לרימון בשעת הפעלתו.,,,,,,,,,['רימון הלם/גז'],,,,,,,,,,,,
העונש הקבוע בחוק בגין עבירה של החזקת נשק הוא 7 שנות מאסר בפועל.,,[],[],[],,,,,,,,,,,,,,,,,
"בנסיבות הענין, נוכח כל המקובץ לעיל, לאחר שעיינתי בפסקי דין נוספים העוסקים בעבירות שבוצעו בנסיבות דומות, ובהתחשב בחומרת העבירה שביצע הנאשם, בערכים החברתיים שנפגעו, במידת הפגיעה בהם, בנזק שצפוי היה להגרם, במדיניות הענישה הנוהגת ובכלל הנסיבות הקשורות בביצוע העבירה, אני רואה להעמיד את מתחם הענישה ביחס להחזקתו של רימון הלם, אשר בסמוך מאוד להחזקתו סמוך לבית המתלונן, הושלך לעבר מרפסת בית, התפוצץ והשמיע קול נפץ עז, בטווח של  8 - 20 חודשי מאסר בפועל.",,[],[],[],,,,,['רימון הלם/גז'],,,,,,,,,,,,
"לקולא אני רואה לזקוף לזכותו של הנאשם את הודייתו בעובדות כתב האישום המתוקן בטרם הוחל בשמיעת הראיות, אשר חסכו זמן שיפוטי רב, וכן את האחריות והחרטה שהביעו על מעשיו.",,,,,,,['כן'],,,,,,,,,,,,,,
"עוד יש להתחשב בכך שהנאשם עצור מזה כארבעה חודשים, משנעצר עד תום ההליכים.",,,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : כן', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,
"כמו כן יובאו בחשבון נסיבותיו האישיות של הנאשם, כפי שפורטו בהרחבה על ידי סנגורו, לרבות העובדה כי בעת היותו עצור נולד לו בן אותו לא ראה, הקושי שנגרם לאשתו, שנאלצה לצאת לעבודה כדי לפרנס את עצמה ואת בנה, גיוסו לצבא מבלי שהיה חב גיוס ותרומתו למדינה, כמתואר לעיל.",,,,,"['1 : כן', '2 : כן', '3 : לא', '4 : לא', '5 : כן', '6 : לא', '7 : כן', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,
"כן יש לזקוף לקולא את גישתו הסלחנית של המתלונן, שאף תמך בתיקון כתב האישום, כפי שהובע מפי ב""כ המאשימה, והדברים חוזקו בדברי הסנגור, אשר מסר כי מדובר במערכת יחסים טובה בינו לבין הורי הנאשם.",,,,,"['1 : לא', '2 : כן', '3 : לא', '4 : לא', '5 : כן', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,
"לחומרא, תובא בחשבון הרשעתו הקודמת של הנאשם בעבירה של הנחת חומר נפיץ (עבירה   שליבתה בנשק והעונש הקבוע בצידה הוא 20 שנות מאסר), בגינה נדון לשמונה חודשי מאסר.",,['הנאשם קיבל 8 חודשי מאסר'],[],[],"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,
"אכן העבירה דידן בוצעה כשש וחצי שנים לאחר הרשעתו, אך יש להצטער על כך שמאסרו לא הרתיעו מלחזור ולעסוק בעבירות נשק.",,,,,,,,,,,,,,,,,,,,,
"9 חודשי מאסר בפועל, בניכוי תקופת מעצרו בתיק זה מיום 12/10/14.",,"['הנאשם קיבל 9 חודשי מאסר בפועל, בניכוי תקופת מעצרו בתיק זה מיום 12/10/14']",[],[],,,,,,,,,,,,,,,,,
"15 חודשי מאסר על תנאי  למשך 3 שנים, שהנאשם לא ישא בו זולת אם יעבור עבירה בה הורשע, או כל עבירת אלימות שהיא פשע,  ויורשע בה בתוך תקופת התנאי או לאחריה.",,[],['15 חודשי מאסר על תנאי'],[],,,,,,,,,,,,,,,,,
